,newstitle
0,Polisi Usulkan Ada Jalur Khusus Motor di Tol
1,KPK Dalami Proyek yang Jadi 'Keran' Duit Buat Bupati Mesuji
2,TNI Gelar Operasi Psikologi di Papua Cegah Fobia Loreng
3,Jokowi: Kondisi SMPN 1 Muara Gembong Bekasi Sangat Parah
4,"Kasus Jual-Beli Jabatan, KPK Periksa Bupati Cirebon"
5,"Kena Patil Udang, Tangan Jokowi Berdarah saat Panen di Bekasi"
6,PUPR Gagal Capai Tiga Target RPJMN
7,"Kasus Suap Bupati Mesuji, KPK Geledah 5 Lokasi"
8,Menteri Basuki Sebut Motor Masuk Tol Boleh Secara Aturan
9,"Kasus Suap Proyek Jalan, KPK Kirim Direktur MTU Ke PN Medan"
10,"Jadi Saksi Meikarta, Iwa Akui Ketemu Neneng di Rest Area"
11,VIDEO: Jusuf Kalla Tinjau Kemacetan Jabodetabek
12,"Usai Kepergian Eka Tjipta, Gerak Saham Sinarmas Grup Variatif"
13,Sekda Jabar Iwa Karniwa Jadi Saksi di Sidang Meikarta
14,"Cegah Korupsi, PUPR 'Larang' Pegawai Muda Paraf Proyek"
15,KPK Sebut Pemecatan PNS Terlibat Korupsi Berjalan Lambat
16,Novel Baswedan Sebut Pemeriksaan Dirinya Janggal
17,"Duga Ada Suap, KPK Dalami Aliran Dana Sejumlah Pejabat PUPR"
18,Mendagri Ungkap Pembicaraan Izin Meikarta ke Penyidik KPK
19,Mendagri Penuhi Panggilan KPK untuk Diperiksa soal Meikarta
20,KPK Panggil Mendagri Tjahjo untuk Jadi Saksi Suap Meikarta
21,Karier Bupati Khamami hingga Jadi Tersangka Suap di Mesuji
22,KPK OTT Bupati Mesuji
23,Kronologi OTT Bupati Mesuji Khamami Terima Suap Proyek
24,Kemendagri Dorong Kenaikan Penghasilan Tetap Kepala Daerah
25,Bupati Mesuji Khamami dan Adiknya Jadi Tersangka Suap Proyek
26,"20 Proyek Terindikasi Suap, PUPR Bentuk Balai Khusus Lelang"
27,Gubernur Sulteng Diminta Petakan Zona Merah Gempa Palu
28,"KPK OTT Bupati Mesuji, 8 Orang Diamankan"
29,"KPK Tangkap Tangan Bupati Mesuji, Uang Satu Kardus Diamankan"
30,Para Capres Disebut Belum Serius Perbaiki Nasib Pejalan Kaki
31,KPK Ungkap Dugaan Praktik Suap di 20 Proyek Kementerian PUPR
32,SMF Bakal Salurkan KPR untuk 3.000 PNS Korban Bencana Lombok
33,VIDEO: Presiden Jokowi dan Pejabat Ikut Potong Rambut Massal
34,Cerita Pencukur Rambut Jokowi yang 'Ditemukan' di Mal GI
35,Pemerintah Bakal Gunakan Karet untuk Aspal Jalan 385 Ribu Km
36,Neneng Ungkap Transaksi Suap Meikarta Rp1 Miliar di Rest Area
37,"Kasus Suap SPAM, KPK Periksa Direktur Pengembangan"
38,30 Proyek Strategis Bernilai Rp276 T Rampung di 2019
39,Diskon Tol Trans Jawa Tak Berlaku kalau Saldo e-Toll Kurang
40,Tarif Tiga Jalan Tol di Jateng Diskon 15 Persen Sampai Maret
41,"Usai Debat Pilpres 2019, Jokowi Cukur Rambut di Garut"
42,Jokowi Janji Tambah Rusun dan BLK Khusus Santri
43,Jalan Raya Gubeng Surabaya Kembali Alami Retakan
44,Jokowi Diprediksi Bisa Unggul di Debat Capres Perdana
45,Menanti Kejutan Sang Penantang di Debat Capres Perdana 2019
46,Anies Minta Proyek Pembangunan Tanggul Raksasa Dikaji Ulang
47,Sidang Meikarta Ungkap Alur Perizinan yang Lewat 'Belakang'
48,"Soal Penurunan Tanah, Pemprov DKI Akan Belajar dari Jepang"
49,Amien Rais Sebut Jokowi Bisa Diadili Setelah Lengser
50,"Korupsi Rekonstruksi Masjid Pascagempa, Staf Kemenag Diciduk"
51,Alasan Anggaran BP Tapera Belum Juga Cair Awal 2019
52,KPK Ungkap 10 Kementerian Terendah Laporkan LHKPN
53,Aher Akui Sempat Bertemu Neneng Bahas Perda Terkait Meikarta
54,KPK Cermati Klaim Neneng Soal Arahan Tjahjo Terkait Meikarta
55,Sekda Jabar Iwa Karniwa Disebut Minta Rp1 M dari Meikarta
56,Neneng Sebut Tjahjo Kumolo Minta Izin Meikarta Dibantu
57,Jokowi Minta Rekonstruksi Wilayah Terdampak Gempa Dipercepat
58,Kementan Klaim Naikkan Mutu Karet 220 Ribu Ton pada 2018
59,"Kasus SPAM, KPK Periksa Dua Pegawai Ditjen Cipta Karya PUPR"
60,Perumda Putar Otak Usai PUPR Batal Bangun Rusun Pasar Minggu
61,PUPR Fokus Rampungkan Proyek Jalan Pulau Terluar pada 2019
62,Eks Penasihat KPK Cium Keanehan Teror Cuma ke Dua Pimpinan
63,Pemprov DKI Pegang Pengelolaan Transportasi Umum Jabodetabek
64,Kepala BNPB Doni Monardo Langsung Rapat Penanganan Bencana
65,Beda Pembangunan Infrastruktur Era Soeharto Hingga Jokowi
66,Jokowi Kaji Bentuk Lembaga Baru Urus Transportasi Jabodetabek
67,Habiburokhman: Debat Perdana Akan Berat untuk Jokowi
68,Jokowi: Indonesia Rugi Rp65 Triliun Gara-gara Macet
69,Kronologi Kisruh Bank Dunia Kritik Infrastruktur Jokowi
70,"Aher Mangkir Tanpa Penjelasan, Sumarsono Minta Jadwal Ulang"
71,Pengusaha Amini Kritik Bank Dunia ke Jokowi
72,Sri Mulyani Akui Bahas Laporan 'Pedas' Bank Dunia
73,Respons Para Menteri Jokowi soal Kritik Pedas Bank Dunia
74,"Beli Karet Campuran Aspal, Pemerintah Siapkan Dana Rp20 M"
75,Bank Dunia Akui Laporan Infrastruktur Jokowi Belum Final
76,KPK Agendakan Periksa Aher hingga Soni Sumarsono Hari Ini
77,"Flyover Kemayoran Retak, Pengelola Janji Perbaiki Malam Ini"
78,"Dilarang KPU, Jokowi Ganti Hadiah Sepeda dengan Foto Bersama"
79,"Suap Proyek Air Minum, KPK Periksa Anak Buah Menteri PUPR"
80,"Geledah Ditjen Cipta Karya PUPR, KPK Sita Dokumen Proyek"
81,KPK Bidik Pejabat Kementerian PUPR soal Suap Proyek Air Minum
82,"Perbaikan Flyover Cengkareng Diperpanjang, Dibuka 7 Januari"
83,"Gempa Magnitudo 4,6 di Ambon, Tak Berpotensi Tsunami"
84,BPN Tegaskan Bangun Jalan Tol Tanpa Utang Bisa Dilakukan
85,PUPR Rampungkan 190 Hunian Sementara Korban Gempa Sulteng
86,"Kritisi Infrastruktur Jokowi, Sandi Gunakan Data Bank Dunia"
87,"KPK Sita Rp1,2 M dari Rumah Tersangka Penyuap Proyek SPAM"
88,KPK Geledah Rumah Pejabat PUPR hingga Petinggi PT WKE
89,Jokowi Beri Tenggat Relokasi Pesisir Lampung Tiga Bulan
90,"Dampak Tsunami, Jokowi Ingin Warga Pesisir Lampung Direlokasi"
91,"Usai Tsunami Selat Sunda, Jokowi Minta Kawasan Pesisir Ditata"
92,PUPR Klaim Tol Trans Jawa Bikin Arus Mudik Natal Lancar
93,"Prihatin Kasus Suap PUPR, Sandi Ingin Sentuh Akhlak Birokrat"
94,"Dalami Kasus Suap SPAM, KPK Geledah Kantor Kementerian PUPR"
95,111 IKM Dapat Diskon Peremajaan Mesin Produksi Rp11 Miliar
96,Rumah bagi Orang Miskin Tetap Jadi Prioritas PUPR di 2019
97,Prabowo: 2025 RI Krisis Air Bersih dan BBM Impor 100 Persen
98,PUPR Kaji Setop Kontrak Perusahaan Penyuap Proyek Air Minum
99,Pengelolaan Sampah dan Air Limbah Dorong Kemajuan Bangsa
100,PDIP Dukung Wacana Borgol Tahanan Korupsi
101,KPK Tahan 8 Tersangka Suap Proyek Air Minum PUPR
102,Kronologi OTT Dugaan Suap Proyek Air Minum
103,KPK Kaji Pemberatan Hukum Tersangka Suap Proyek Air Minum
104,KPK Tetapkan Delapan Tersangka Kasus Korupsi Proyek Air Minum
105,KPK Sita Miliaran Rupiah dalam OTT Proyek Air untuk Bencana
106,VIDEO: KPK Tangkap Pejabat PUPR karena Kasus Proyek Air Minum
107,KPK: Banyak Proyek Air Minum Terkait OTT Pejabat PUPR
108,"Sambangi KPK, Irjen PUPR Pulang 'Tangan Kosong'"
109,Menteri Basuki: Celah Korupsi dari Proses Pengadaan Barang
110,"OTT Pejabat PUPR, KPK Usut Relasi Proyek Air Minum Bencana"
111,"Anak Buah Diciduk, Irjen Kementerian PUPR Sambangi KPK"
112,Menteri PUPR Timbang Beri Bantuan Hukum Pejabat Terciduk KPK
113,KPK: 20 Orang Diciduk dalam OTT Pejabat Kementerian PUPR
114,KPK Sita Dolar Singapura Saat OTT Pejabat Kementerian PUPR
115,Pejabat PUPR yang Dicokok KPK Pegawai Ditjen Cipta Karya
116,KPK Tangkap Tangan Pejabat Kementerian PUPR
117,Ketua DPRD Jambi dan 11 Anggota Jadi Tersangka Suap Zumi Zola
118,"Tanggapi Presiden, Anies Sebut DKI Genjot Pembebasan Lahan"
119,PUPR Dirikan Politeknik PU untuk Bina Tenaga Konstruksi
120,"Akhir Tahun, Serapan Anggaran PUPR Baru Mencapai 88 Persen"
121,Pemerintah Bakal Bangun Rumah Korban Tsunami Selat Sunda
122,"Flyover Cengkareng Retak, Anies Minta PUPR Cek Semua Flyover"
123,PUPR Sebut Perbaikan Flyover Cengkareng Butuh Waktu 14 Hari
124,VIDEO: Perbaikan Flyover Cengkareng Diprediksi Dua Pekan
125,"Flyover Cengkareng Retak, Polisi Alihkan Arus Lalu Lintas"
126,Flyover Cengkareng Retak Ditutup sampai 31 Desember
127,PUPR Perbaiki Retakan Flyover Cengkareng
128,Perilaku Ini Buktikan Masyarakat Sadar akan Lingkungan Sehat
129,Bank Penyalur Kredit Rumah Bersubsidi Dipangkas di 2019
130,Menteri PUPR Minta Bantuan Menkeu Bebaskan Lahan Bendungan
131,Jokowi Ingin Anies Lebarkan Sungai Ciliwung hingga 60 Meter
132,Dua Bendungan Proyek Jokowi Terganjal Soal Pembayaran Lahan
133,Relokasi Diwacanakan di Pesisir Lampung Terdampak Tsunami
134,Korban Tewas Tsunami Selat Sunda Dapat Santunan Rp15 Juta
135,PLN Perbaiki 256 Gardu Listrik di Wilayah Terdampak Tsunami
136,"Tol Pandaan-Malang Baru Dibuka, 26 Ribu Kendaraan Melintas"
137,Kedatangan Jokowi dan Gembira Sesaat Korban Tsunami Banten
138,Menteri PUPR: Infrastruktur Tak Banyak Terdampak Tsunami
139,Jasa Marga Gratiskan Tujuh Tol Saat Libur Natal-Tahun Baru
140,Peran Penting Tokoh Masyarakat dalam Perkembangan Sanitasi
141,"Tsunami Selat Sunda, Jokowi Imbau Waspada Isu Menyesatkan"
142,JK Nyatakan Penanganan Tsunami Selat Sunda Bisa lewat Darat
143,"Pembiayaan Proyek dari Sukuk Melejit 34,36 Persen"
144,"Pembiayaan Proyek SBSN 2019 Dipatok Rp28,42 Triliun"
145,KPK Periksa Bupati Pakpak Bharat Terkait Suap Proyek Jalan
146,Pembangunan Ribuan Hunian Korban Gempa Lombok Berjalan Lambat
147,Perilaku Hidup Bersih dan Sehat Menopang Pariwisata Daerah
148,Billy Sindoro Bantah Bahas Meikarta di Rumah Bupati Bekasi
149,Pejabat Jabar Era Aher Dapat Sin$90 Ribu Terkait Meikarta
150,Lippo Cikarang Ikut Didakwa Suap Bupati Bekasi Demi Meikarta
151,Menpar Prediksi Pariwisata Jadi Penghasil Devisa Terbesar
152,Empat Petinggi Waskita Karya Dicegah ke Luar Negeri
153,Pemerintah Rilis Program Hibah Jalan Daerah Rp15 Triliun
154,Tol Palembang-Lampung Diperkirakan Terhubung Juni 2019
155,Jokowi Sebut Riau Paling Untung saat Tol Trans Sumatera Kelar
156,Tol Pertama di Aceh Ditargetkan Rampung 2021
157,KPK Tetapkan Penyuap Bupati Pakpak Bharat Tersangka
158,Aturan Urun Dana Beli Saham Rilis Paling Lambat Januari 2019
159,"PUPR Sudah Lelang Proyek Senilai Rp27,55 Triliun"
160,Jembatan Penghubung Padang-Bukittinggi Dibangun Maret 2019
161,Peran Perempuan dalam Perubahan Perilaku Hidup Bersih
162,Moeldoko Minta Pemda Bantu Pertahankan Lahan Pertanian
163,PUPR: 120 Hunian Sementara Siap Dihuni Korban Gempa Palu
164,Ombudsman Sebut Empat Kementerian 'Kurang Patuh'
165,Beban Berat APBN Demi Milenial Punya Rumah
166,Sri Mulyani: 10 Proyek Infrastruktur Skema KPBU Dimulai 2019
167,Dua Kementerian Lakukan Lelang Dini Kebut Serapan Anggaran
168,Jokowi Gelontorkan Anggaran Pendidikan Nyaris Rp500 T di 2019
169,KPK Periksa Tiga Pimpinan DPRD Kabupaten Bekasi soal Meikarta
170,Kemenpar Berencana Bangun Lokasi Karavan di Jalur Trans Jawa
171,Menhub Akan Jajal Tol Jakarta-Surabaya Pekan Depan
172,Adik Zulhas Sidang Perdana Dugaan Korupsi Pekan Depan
173,"Mulai 2019, Milenial Bisa Cicil KPR Subsidi Tanpa Syarat Gaji"
174,BUMN Bangun Rusun Dekat Stasiun Harga Rp250 Juta di Tangsel
175,Curhat Menteri Basuki soal Rumah Bakal Kena Gusur Proyek Tol
176,"Jokowi Kucurkan Rp12,6 T untuk Papua dan Papua Barat di 2019"
177,Kemitraan Pemda Kelola Sampah Jadi Kunci Warga Sejahtera
178,KPK Beri Perhatian Khusus ke Anggaran Infrastruktur Jokowi
179,DPD Curiga Pembunuhan di Nduga Akibat Kecemburuan Sosial
180,Menteri Basuki Tegaskan Korban Penembakan Nduga Bukan TNI
181,PUPR Beri Penghargaan Daerah Inovatif Pembangun Infrastruktur
182,"Segera Diadili, KPK Titipkan Adik Zulhas di Lapas Lampung"
183,Program Sejuta Rumah ala Jokowi Akhirnya Tercapai Juga
184,Sri Mulyani Proyeksi Belanja Modal Tahun Ini Negatif
185,Kemenpar Sabet Penghargaan di Ajang Media Humas 2018
186,TPNPB Tak Restui Rezim Jokowi Bangun Infrastruktur di Papua
187,"Dijaga Aparat, WIKA dan PTPP Tetap Garap Proyek di Papua"
188,"Basuki Hadimuljono, Anak Tentara yang Jadi 'Daendels' Jokowi"
189,VIDEO: Sehari Bersama Menteri PUPR Basuki Hadimuljono
190,"Antisipasi Ancaman Terorisme, Kemhub Bangun Posko Terpadu"
191,Pengelolaan Sampah Turut Majukan Pendidikan Indonesia
192,PUPR Minta Asosiasi Jalan Tol Tentukan Tarif Tol Trans Jawa
193,Empat Korban Penembakan di Papua Kembali Dievakuasi
194,"Tahun Depan, Jokowi Minta Seluruh K/L Punya Program SDM"
195,Kodam Cendrawasih Pastikan Situasi di Nduga Sudah Terkendali
196,Kementerian PUPR Pastikan Satu Pegawai Ditahan KKB Papua
197,"Gratis, Empat Ruas Tol Trans-Jawa Bakal Dibuka Sebelum Natal"
198,Komnas HAM Minta Insiden Nduga Diusut Sesuai Koridor Hukum
199,"Instruksi Jokowi: Tangkap Pelaku, Trans Papua Harus Selesai"
200,Menteri PUPR: Pembangunan di Daerah Rawan Selalu Libatkan TNI
201,Aparat TNI-Polri Jaga Titik Rawan di Infrastruktur Papua
202,Pembangunan di Papua Tetap Jalan dengan Pengawalan TNI-Polri
203,Anies Sebut Penurunan Tanah Jakarta Akibat Penyedotan Air
204,DPR akan Panggil PUPR soal Infrastruktur dan Penembakan Papua
205,"Basuki: Demi Keadilan, Pembangunan di Papua Tak Akan Berhenti"
206,Wiranto Pastikan Proyek Trans Papua Tetap Berlanjut
207,"Insiden Penembakan, Uraian Fakta Proyek Jembatan di Papua"
208,Perusahaan Sebut Korban Pembunuhan di Papua Asal Sulawesi
209,"Trans Papua, Proyek Ambisi Jokowi di Indonesia Timur"
210,"Buntut Pembunuhan, Proyek Jembatan Trans Papua Dihentikan"
211,Aparat Evakuasi Puluhan Pekerja Korban Pembunuhan di Papua
212,Kemenhub Ingin Tiru Sistem Buka Tutup Gerbang Tol Korsel
213,"Mangkir, KPK Jadwal Ulang Pemeriksaan Wakil Ketua DPRD Bekasi"
214,Menteri PUPR Pelajari Teknologi Jepang Perpanjang Usia Dam
215,KPK Panggil Anggota DPRD PDIP Waras Wasisto di Kasus Meikarta
216,Jokowi Bahagia Tuntaskan Tol yang 21 Tahun Mangkrak
217,Tol Bocimi Sesi 1 Pangkas Waktu Tempuh Ciawi-Cigombong
218,"Akibat Gempa dan Tsunami, 17 Ribu Rumah Rusak di Donggala"
219,Solusi Mengubah Sampah Menjadi Sumber Pendapatan Warga
220,Solusi Mengubah Sampah Menjadi Sumber Pendapatan Warga
221,"Pengelolaan Limbah Komunal, Bebaskan Lingkungan dari Pencemar"
222,"Kasus Suap Meikarta, KPK Panggil Sekda Jabar"
223,"Jalan Tol Sragen-Ngawi Beroperasi, Tarif Dibanderol Rp55 Ribu"
224,Pemerintah Serap 150 ribu Ton Karet Petani Sumsel Untuk Aspal
225,"Kasus Suap Meikarta, KPK Panggil Dirut PT Star Pacific"
226,Jokowi Minta Pembangunan Landas Pacu Bandara Soetta Dikebut
227,Jalur Puncak Bogor Dilebarkan demi Kurangi Kemacetan
228,Rini Beri Sinyal Anak-anak Usaha BUMN Batal IPO Tahun Ini
229,Jokowi Bakal Resmikan Tol Sragen-Ngawi Pekan Ini
230,Sampah & Limbah Bisa Jadi Sumber Manfaat Masyarakat
231,Pemerintah Serahkan Rusun Rp266 Miliar ke Pemda
232,"Harga Anjlok, Pemerintah Beli Karet Petani untuk Aspal Jalan"
233,"KPK Lengkapi Berkas Perkara, Adik Zulhas Disidang di Lampung"
234,Anies Akan Manfaatkan Pulau Reklamasi untuk Kampung Nelayan
235,Tol Jakarta-Surabaya Dioperasikan untuk Mudik Natal Gratis
236,Tanggul Pantai untuk Cegah Banjir Rob Jakarta Rampung 2020
237,"Soal Air Laut Akan Sampai HI, Anies Mengaku Siapkan Program"
238,"Jakarta Bisa Tenggelam, Menteri PUPR Dorong Bangun Tanggul"
239,Nias Ditunjuk Sebagai Tuan Rumah Sail Indonesia 2019
240,Sepuluh Jenis Kayu dan Tukang Tuo demi Perbaikan Rumah Gadang
241,"Kasus Suap Meikarta, KPK Panggil Wakil Bupati Bekasi"
242,Pemerintah Rampungkan Pembangunan Bendungan Mila di Sumbawa
243,KPK Sita Rp55 Juta dari Kantor Bupati Pakpak Bharat
244,PUPR dengan Belanda Evaluasi Pembangunan Tanggul Raksasa
245,Kondisi Keuangan 99 PDAM Tak Sehat
246,PII Jamin 17 Proyek Senilai Total Rp36 Triliun
247,Jokowi Tak Intervensi Kasus Korupsi Bupati Pakpak Bharat
248,Sekda Pakpak Bharat Ditunjuk Gantikan Posisi Bupati Remigo
249,Demokrat Pecat Remigo Usai Jadi Tersangka Suap
250,KPK Usut Dugaan Uang Bupati Pakpak Bharat ke Polda Sumut
251,Polda Sumut Sudah Hentikan Kasus Istri Bupati Pakpak Bharat
252,"Bupati Pakpak Bharat, Kepala Daerah ke-104 yang 'Digarap' KPK"
253,Bupati Remigo Diduga Pakai Uang Suap buat Amankan Kasus Istri
254,Kronologi OTT Bupati Pakpak Bharat
255,Bupati Pakpak Bharat Tersangka Suap Proyek Dinas PUPR
256,Warga Korban Gempa Lombok Keluhkan Bantuan Mandek
257,Jokowi Bandingkan Monumen Kapsul Waktu dengan Markas Avengers
258,"Kasus Meikarta, KPK Periksa Direktur Lippo Cikarang"
259,KPK Titipkan Bupati Nonaktif Labuhanbatu ke Rutan Medan
260,JK Minta Rekonstruksi Palu Pascagempa Dimulai Januari 2019
261,KPK Duga Sejumlah Dokumen Izin Proyek Meikarta 'Backdate'
