;sentence;polarity;Subjectivity;Sentiment_Type
0;Polisi Usulkan Ada Jalur Khusus Motor di Tol;0.35714285714285715;0.5714285714285714;Positive
1;KPK Dalami Proyek yang Jadi 'Keran' Duit Buat Bupati Mesuji;0.0;0.0;Neutral
2;TNI Gelar Operasi Psikologi di Papua Cegah Fobia Loreng;0.0;0.1;Neutral
3;Jokowi: Kondisi SMPN 1 Muara Gembong Bekasi Sangat Parah;0.18;0.41999999999999993;Positive
4;Kasus Jual-Beli Jabatan, KPK Periksa Bupati Cirebon;0.0;0.0;Neutral
5;Kena Patil Udang, Tangan Jokowi Berdarah saat Panen di Bekasi;-0.8;0.9;Negative
6;PUPR Gagal Capai Tiga Target RPJMN;-0.5;0.3;Negative
7;Kasus Suap Bupati Mesuji, KPK Geledah 5 Lokasi;0.0;0.0;Neutral
8;Menteri Basuki Sebut Motor Masuk Tol Boleh Secara Aturan;0.0;0.0;Neutral
9;Kasus Suap Proyek Jalan, KPK Kirim Direktur MTU Ke PN Medan;0.0;0.0;Neutral
10;Jadi Saksi Meikarta, Iwa Akui Ketemu Neneng di Rest Area;0.45;0.8500000000000001;Positive
11;VIDEO: Jusuf Kalla Tinjau Kemacetan Jabodetabek;0.0;0.0;Neutral
12;Usai Kepergian Eka Tjipta, Gerak Saham Sinarmas Grup Variatif;0.0;0.0;Neutral
13;Sekda Jabar Iwa Karniwa Jadi Saksi di Sidang Meikarta;0.0;0.0;Neutral
14;Cegah Korupsi, PUPR 'Larang' Pegawai Muda Paraf Proyek;0.1;0.4;Positive
15;KPK Sebut Pemecatan PNS Terlibat Korupsi Berjalan Lambat;-0.30000000000000004;0.39999999999999997;Negative
16;Novel Baswedan Sebut Pemeriksaan Dirinya Janggal;-0.6;1.0;Negative
17;Duga Ada Suap, KPK Dalami Aliran Dana Sejumlah Pejabat PUPR;-0.1;0.1;Negative
18;Mendagri Ungkap Pembicaraan Izin Meikarta ke Penyidik KPK;0.0;0.0;Neutral
19;Mendagri Penuhi Panggilan KPK untuk Diperiksa soal Meikarta;0.0;0.0;Neutral
20;KPK Panggil Mendagri Tjahjo untuk Jadi Saksi Suap Meikarta;0.0;0.0;Neutral
21;Karier Bupati Khamami hingga Jadi Tersangka Suap di Mesuji;0.0;0.0;Neutral
22;KPK OTT Bupati Mesuji;0.0;0.0;Neutral
23;Kronologi OTT Bupati Mesuji Khamami Terima Suap Proyek;0.0;0.0;Neutral
24;Kemendagri Dorong Kenaikan Penghasilan Tetap Kepala Daerah;0.1;0.2;Positive
25;Bupati Mesuji Khamami dan Adiknya Jadi Tersangka Suap Proyek;0.0;0.0;Neutral
26;20 Proyek Terindikasi Suap, PUPR Bentuk Balai Khusus Lelang;0.35714285714285715;0.5714285714285714;Positive
27;Gubernur Sulteng Diminta Petakan Zona Merah Gempa Palu;0.0;125;Neutral
28;KPK OTT Bupati Mesuji, 8 Orang Diamankan;0.0;0.0;Neutral
29;KPK Tangkap Tangan Bupati Mesuji, Uang Satu Kardus Diamankan;0.0;0.0;Neutral
30;Para Capres Disebut Belum Serius Perbaiki Nasib Pejalan Kaki;0.16666666666666666;0.6666666666666666;Positive
31;KPK Ungkap Dugaan Praktik Suap di 20 Proyek Kementerian PUPR;-0.1;0.1;Negative
32;SMF Bakal Salurkan KPR untuk 3.000 PNS Korban Bencana Lombok;0.0;0.0;Neutral
33;VIDEO: Presiden Jokowi dan Pejabat Ikut Potong Rambut Massal;0.0;0.0;Neutral
34;Cerita Pencukur Rambut Jokowi yang 'Ditemukan' di Mal GI;0.0;0.0;Neutral
35;Pemerintah Bakal Gunakan Karet untuk Aspal Jalan 385 Ribu Km;0.0;0.0;Neutral
36;Neneng Ungkap Transaksi Suap Meikarta Rp1 Miliar di Rest Area;0.0;0.0;Neutral
37;Kasus Suap SPAM, KPK Periksa Direktur Pengembangan;0.0;0.0;Neutral
38;30 Proyek Strategis Bernilai Rp276 T Rampung di 2019;0.3;0.1;Positive
39;Diskon Tol Trans Jawa Tak Berlaku kalau Saldo e-Toll Kurang;-0.16666666666666666;0.06666666666666667;Negative
40;Tarif Tiga Jalan Tol di Jateng Diskon 15 Persen Sampai Maret;0.0;0.25;Neutral
41;Usai Debat Pilpres 2019, Jokowi Cukur Rambut di Garut;0.0;0.0;Neutral
