,media,Title,Desc,titledesc,sentiment
0,JakartaPost,No haj funds invested infrastructure official says,Haj Fund Management Agency (BPKH) head Anggito Abimanyu denied on Thursday speculation that haj fund...,"No haj funds invested in infrastructure, official says Haj Fund Management Agency (BPKH) head Anggito Abimanyu denied on Thursday speculation that haj fund...","Sentiment(polarity=0.0, subjectivity=0.0)"
1,JakartaPost,Angkasa Pura II wants go global eyes ASEAN airports,State-owned airport operator Angkasa Pura (AP) II is looking to go global this year by managing airp...,"Angkasa Pura II wants to go global, eyes ASEAN airports State-owned airport operator Angkasa Pura (AP) II is looking to go global this year by managing airp...","Sentiment(polarity=0.1, subjectivity=0.05)"
2,JakartaPost,Trans-Java toll road open at midnight but drivers may experience bottlenecks,"The toll for the road between Jakarta and Surabaya is Rp 660,500 (US$46.41).","Trans-Java toll road to open at midnight but drivers may experience bottlenecks The toll for the road between Jakarta and Surabaya is Rp 660,500 (US$46.41).","Sentiment(polarity=0.0, subjectivity=0.5)"
3,JakartaPost,Tunnel through an Australian mountain? No problem says Elon Musk,Australia could become a test ground for another of Elon Musk's massive infrastructure projects&...,"Tunnel through an Australian mountain? No problem, says Elon Musk Australia could become a test ground for another of Elon Musk's massive infrastructure projects&...","Sentiment(polarity=0.0, subjectivity=0.0)"
4,JakartaPost,Game over Jokowi  7 percent growth target?,"Crucially, the foundation to support high growth was missing even before Jokowi came to office. Two ...","Game over for Jokowi's 7 percent growth target? Crucially, the foundation to support high growth was missing even before Jokowi came to office. Two ...","Sentiment(polarity=-0.4, subjectivity=0.4)"
5,JakartaPost,World Bank clarifies report Indonesian infrastructure,Following the current public discussion of one of its reports about Indonesia's infrastructure p...,World Bank clarifies report on Indonesian infrastructure Following the current public discussion of one of its reports about Indonesia's infrastructure p...,"Sentiment(polarity=0.0, subjectivity=0.0)"
6,JakartaPost,Outlook Happy news some sectors 2019,"The Jakarta Post takes a look at investment, infrastructure, energy, transportation, tourism and dig...","Outlook: Happy news for some sectors in 2019 The Jakarta Post takes a look at investment, infrastructure, energy, transportation, tourism and dig...","Sentiment(polarity=0.8, subjectivity=1.0)"
7,JakartaPost,Not all bad 2018 Indonesian economic review,Natural and man-made disasters overshadowed growth in tourism and the transportation sector.,Not all bad in 2018: Indonesian economic review Natural and man-made disasters overshadowed growth in tourism and the transportation sector.,"Sentiment(polarity=-0.24999999999999992, subjectivity=0.43333333333333335)"
8,JakartaPost,Open education can address Indonesia  educational inequalities,"In Indonesia open education is in initial stages, marked by lack of supporting policy and infrastruc...","Open education can address Indonesia's educational inequalities In Indonesia open education is in initial stages, marked by lack of supporting policy and infrastruc...","Sentiment(polarity=0.125, subjectivity=0.375)"
9,JakartaPost,Government shift focus from infrastructure education Papua,Education will become another focus of the government’s development plans in Indonesia’s...,Government to shift focus from infrastructure to education in Papua Education will become another focus of the government’s development plans in Indonesia’s...,"Sentiment(polarity=0.0, subjectivity=0.0)"
10,JakartaPost,Government shift focus from infrastructure education Papua,Education will become another focus of the government’s development plans in Indonesia’s...,Government to shift focus from infrastructure to education in Papua Education will become another focus of the government’s development plans in Indonesia’s...,"Sentiment(polarity=0.0, subjectivity=0.0)"
11,JakartaPost,Wika secures deals worth trillions,State-owned contractor PT Wijaya Karya (Wika) has signed several deals worth Rp 34.2 trillion (US$2....,Wika secures deals worth trillions State-owned contractor PT Wijaya Karya (Wika) has signed several deals worth Rp 34.2 trillion (US$2....,"Sentiment(polarity=0.3, subjectivity=0.1)"
12,JakartaPost,Environmentalists face greater risks amid development drive,Activists say development policies lack human rights and environmental perspectives.,Environmentalists face greater risks amid development drive Activists say development policies lack human rights and environmental perspectives.,"Sentiment(polarity=0.5, subjectivity=0.5)"
13,JakartaPost,Salient points Prabowo-Sandiaga’s plans Fair and Prosperous Indonesia,"Prabowo-Sandi has divided the platform into seven main parts: the economy, human development, food a...","Salient points in Prabowo-Sandiaga’s plans for Fair and Prosperous Indonesia Prabowo-Sandi has divided the platform into seven main parts: the economy, human development, food a...","Sentiment(polarity=0.7, subjectivity=0.9)"
14,JakartaPost,Trans-Papua road project suspended amid worsening security,Public Works and Housing Minister Basuki Hadimuljono told reporters on Tuesday the government w...,Trans-Papua road project suspended amid worsening security Public Works and Housing Minister Basuki Hadimuljono told reporters on Tuesday the government w...,"Sentiment(polarity=0.0, subjectivity=0.0)"
15,JakartaPost,Toll road connecting Jakarta Surabaya expected be ready December,"President Joko ""Jokowi"" Widodo is saying the 51-kilometer Sragen-Ngawi section of road wou...","Toll road connecting Jakarta to Surabaya expected to be ready in December President Joko ""Jokowi"" Widodo is saying the 51-kilometer Sragen-Ngawi section of road wou...","Sentiment(polarity=0.05, subjectivity=0.45)"
16,JakartaPost,Two infrastructure projects along Jakarta-Cikampek toll road postponed,"The construction of Jakarta-Cikampek II elevated toll road, meanwhile, is still ongoing.","Two infrastructure projects along Jakarta-Cikampek toll road postponed The construction of Jakarta-Cikampek II elevated toll road, meanwhile, is still ongoing.","Sentiment(polarity=0.0, subjectivity=0.0)"
17,JakartaPost,Indonesia offers infrastructure projects French investors,Head of the National Development Planning Board (Bappenas) Bambang Brodjonegoro said on Thursday the...,Indonesia offers infrastructure projects to French investors Head of the National Development Planning Board (Bappenas) Bambang Brodjonegoro said on Thursday the...,"Sentiment(polarity=0.05, subjectivity=0.0)"
18,JakartaPost,Don't use Village Fund develop infrastructure Jokowi,"President Joko “Jokowi” Widodo has called on village heads not to use the Village Fund, ...","Don't use Village Fund to develop infrastructure: Jokowi President Joko “Jokowi” Widodo has called on village heads not to use the Village Fund, ...","Sentiment(polarity=0.0, subjectivity=0.0)"
19,JakartaPost,Jokowi urges local govt tech-up,President Joko “Jokowi” Widodo said the government had distributed up to Rp 400 trillion...,Jokowi urges local govt to tech-up President Joko “Jokowi” Widodo said the government had distributed up to Rp 400 trillion...,"Sentiment(polarity=0.0, subjectivity=0.0)"
