,sentence,sentiment,polarity,Sentiment_Type
0,"Cegah Banjir di Kota Bima, Normalisasi Sungai Dilanjutkan",0.0,0.0,Neutral
1,KPK Perpanjang Masa Penahanan 8 Tersangka Kasus SPAM PUPR,0.0,0.0,Neutral
2,"2019, Pemerintah Bangun 28,80 Kilometer Jalan di Maluku Tenggara Barat",0.0,0.0,Neutral
3,"Periksa Irjen PUPR, KPK Telusuri Pemeriksaan Internal Terkait Proyek-proyek SPAM",0.02500000000000001,0.25,Positive
4,"Kasus SPAM PUPR, KPK Panggil Plt Sekjen Cipta Karya",0.0,0.0,Neutral
5,Sistem Penyediaan Air Minum Bandung Raya Siap Digunakan,0.35,0.5,Positive
6,"Atasi Kemacetan, Depok Ajukan Dana Hibah Rp 6,5 M ke Pemprov DKI",0.0,0.0,Neutral
7,4 Bendungan Mulai Diisi Air Bulan Depan,0.0,0.0,Neutral
8,"Pekan Depan, Keluar Tarif 7 Ruas Tol Baru Trans-Jawa ",0.06818181818181818,0.22727272727272727,Positive
9,Target Sejuta Rumah Tahun Ini 635.361 Unit,0.0,0.0,Neutral
10,"Gunakan Dana SBSN Rp 553,57 Miliar, Jembatan Musi IV Sudah Dibuka",0.0,0.0,Neutral
11,Jembatan Leta Oar Ralan Siap Berfungsi,0.2,0.5,Positive
12,"Kasus Proyek Air Minum PUPR, KPK Panggil 2 Pejabat Ditjen Cipta Karya",0.0,0.0,Neutral
13,Kementerian PUPR Batal Bangun Rusun Pasar Minggu,0.0,0.0,Neutral
14,"Dinilai Lebih Berkualitas, Penggunaan Aspal Karet Berlanjut Tahun Ini",0.5,0.5,Positive
15,Perubahan Nomenklatur Ditjen Pembiayaan Perumahan Sudah Tepat,0.16785714285714287,0.5178571428571428,Positive
16,Politeknik Pekerjaan Umum Siap Dibuka 2019,0.06666666666666667,0.35555555555555557,Positive
17,"Perubahan Nomenklatur, Ditjen Pembiayaan Infrastruktur Resmi Dibentuk",0.05000000000000002,0.5,Positive
18,"Kaleidoskop 2018: Pecah Telor, Program Sejuta Rumah Tembus Target",0.0,0.0,Neutral
19,Sandiaga Uno: Kok Bisa-bisanya Proyek di Lokasi Bencana Dikorupsi,0.0,0.0,Neutral
20,Kaleidoskop 2018: Suap di Tubuh Kementerian PUPR,0.0,0.0,Neutral
21,"Kasus Dugaan Suap Proyek Air Minum, KPK Geledah Dua Lokasi",-0.1,0.1,Negative
22,Kementerian PUPR Copot Pejabat yang Dicokok KPK,0.0,0.0,Neutral
23,Kementerian PUPR Akan Memutus Kontrak Penyuap Proyek SPAM,0.0,0.0,Neutral
24,"Dugaan Suap Proyek Air Minum Kementerian PUPR, KPK Sita Sebuah Mobil",-0.1,0.1,Negative
25,5 Fakta Terkait Kasus Dugaan Suap Proyek Air Minum Kementerian PUPR,-0.1,0.1,Negative
26,"Pegawainya Tersangka Suap, Kementerian PUPR Tak Akan Intervensi KPK",0.0,0.0,Neutral
27,KPK Tahan 8 Tersangka Dugaan Suap Proyek SPAM Kementerian PUPR,0.0,0.0,Neutral
28,"Dugaan Suap di PUPR Terkait Proyek di Daerah Bencana, KPK Pelajari Penerapan Hukuman Mati",-0.1,0.1,Negative
29,Ini Kronologi OTT Pejabat Kementerian PUPR ,0.0,0.0,Neutral
30,"Sabtu Siang, Pihak Kementerian PUPR Akan Sambangi KPK terkait OTT Pejabatnya",0.0,0.06666666666666667,Neutral
31,KPK Sesalkan Dugaan Suap Pejabat Kementerian PUPR Terkait Proyek Air Minum,-0.05,0.19166666666666668,Negative
32,"OTT Pejabat Kementerian PUPR, KPK Duga Ada Suap Sebelumnya Terkait Proyek Air Minum",-0.08888888888888889,0.11111111111111112,Negative
33,"Bawahannya Terjaring OTT KPK, Basuki Mengaku Kaget dan Sedih",-0.6,0.9,Negative
34,OTT Pejabat Kementerian PUPR Diduga Terkait Proyek Penyediaan Air Minum,0.0,0.23333333333333334,Neutral
35,20 Orang Diamankan dalam OTT Kementerian PUPR,0.0,0.0,Neutral
36,"OTT Pejabat Kementerian PUPR, KPK Amankan Uang Rp 500 Juta dan 25.000 Dollar Singapura",0.0,0.0,Neutral
37,"Gelar OTT, KPK Tangkap Pejabat Kementerian PUPR",0.0,0.0,Neutral
38,Kementerian PUPR Bangun Rumah Khusus Korban Bencana Gempa dan Tsunami,0.35714285714285715,0.5714285714285714,Positive
39,Menristekdikti Usul Semua Balai Kementerian PUPR Dijadikan Politeknik,0.0,0.0,Neutral
40,"Basuki Tegaskan ""Flyover"" Cengkareng Tidak Rusak",0.0,0.0,Neutral
41,"Ambrolnya Lereng Tol Salatiga-Kartasura, Basuki Anggap Masalah Kecil",-0.25,0.4,Negative
42,Kementerian PUPR Kantongi Izin Prinsip Bangun Politeknik,0.0,0.06666666666666667,Neutral
43,"""Flyover"" Cengkareng Sudah Retak Sejak Awal Tahun 2018",0.0,0.0,Neutral
44,Kementerian PUPR Terjunkan Alat Berat untuk Banten dan Lampung,-0.06666666666666667,0.2111111111111111,Negative
45,"Jalan Raya Gubeng Surabaya Ambles, Ini Kata Menteri PUPR",0.0,0.0,Neutral
46,"Kasus Wali Kota Pasuruan, KPK Panggil Kepala Dinas PUPR",0.0,0.0,Neutral
47,"Kawasan Seutui di Banda Aceh Tertata, Ekonomi Pun Meningkat",0.0,0.0,Neutral
48,"Selesai Dibangun, Bendungan Rotiklot di NTT Mulai Diisi Air",0.0,0.0,Neutral
49,"Kasus Wali Kota Pasuruan, KPK Panggil Dua Pejabat Dinas PUPR",0.0,0.0,Neutral
50,Kementerian PUPR Percepat Lelang,0.0,0.0,Neutral
51,"Konstruksi SPAM Semarang Barat Telan Biaya Rp 1,15 Triliun",0.0,0.0,Neutral
52,"Akses Padang-Bukittingi Rusak, Pemerintah Bangun Jembatan Sementara",0.0,0.0,Neutral
53,"17 Desember, 120 Unit Huntara di Sulawesi Tengah Siap Dihuni",0.1,0.375,Positive
54,Kementerian PUPR Rencanakan NCICD untuk Tanggulangi Banjir Rob Jakarta,0.0,0.0,Neutral
55,"Menteri PUPR Dorong Millenial Segera Punya Rumah, Mengapa?",0.0,0.0,Neutral
56,"2019, Menteri PUPR Siapkan KPR bagi Milenial Tanpa Batasan Penghasilan",0.0,0.06666666666666667,Neutral
57,Ini Daftar Pemenang Penghargaan PUPR 2018,0.0,0.0,Neutral
58,Kementerian PUPR Apresiasi Pemda Berprestasi di Bidang Infrastruktur,0.0,0.0,Neutral
59,Rumah MBR yang Dibangun Pengembang Lebih Banyak Dibanding Pemerintah,0.5,0.5,Positive
60,Proyek Jembatan di Nduga Papua yang Dihentikan Itu Sudah 72 Persen,0.0,0.0,Neutral
61,Menteri PUPR Kukuhkan Pengurus ATI Baru,0.13636363636363635,0.45454545454545453,Positive
62,"Kasus Meikarta, KPK Periksa Kadis PUPR Kabupaten Bekasi ",0.0,0.0,Neutral
63,Wajib Baca: Penangguhan Proyek Papua dan Sistem Kereta Jepang,0.0,0.0,Neutral
64,Dukacita Mendalam Pekat Terasa di Pattimura 20,-0.4,0.30000000000000004,Negative
65,Kementerian PUPR Hentikan Sementara Proyek Jembatan di Nduga Papua,0.0,0.06666666666666667,Neutral
66,Ridwan Kamil Sebut Menteri PUPR akan Bantu Revitalisasi Kalimalang,0.0,0.0,Neutral
67,"Siapa Pun Presidennya, Proyek Strategis Nasional Jalan Terus",0.0,0.0,Neutral
