No;Title
0;Danang Parikesit Ditunjuk Jadi Kepala Badan Pengatur Jalan Tol
1;Sebelum jadi Kepala BPJT, Danang Parikesit adalah Ketua Umum Masyarakat Transportasi Indonesia (MTI).
2;kumparanBISNIS
3;8 Februari 2019
4;Kementerian PUPR Bangun 1.070 Rumah Khusus di Sulbar
5;Pembangunan 1.070 unit rumah khusus itu dilakukan sejak 2015 hingga 2018 di lima kabupaten di Sulbar.
6;SulbarUpdate.id
7;4 Februari 2019
8;Ada Wacana Harga Rumah yang Bisa Disubsidi Tak Miliki Batas Atas
9;Hanya saja, uang pangkal atau DP bisa lebih mahal.
10;kumparanBISNIS
11;4 Februari 2019
12;Harga Rumah yang Bisa Disubsidi di 2019 Naik, Cek Daftarnya
13;Kenaikan batas atas rumah yang disubsidi di 2019 sudah menyesuaikan harga tanah dan biaya pembangunan.
14;kumparanBISNIS
15;4 Februari 2019
16;Investasi Swasta di Proyek PUPR Selama 4 Tahun Capai Rp 324 Triliun
17;Sebanyak 98,68 persen investasi swasta adalah proyek jalan tol.
18;kumparanBISNIS
19;4 Februari 2019
20;PUPR Usul Pembangunan Trans Papua di Nduga Ditunda karena Tak Aman
21;Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) berencana melakukan revisi rute jalan Trans Papua.
22;kumparanBISNIS
23;4 Februari 2019
24;Kementerian PUPR Bangun 1.070 Rumah Khusus di Sulbar
25;Pembangunan 1.070 unit rumah khusus tersebut dilakukan secara bertahap di lima kabupaten di Sulbar.
26;Adi Pallawalino
27;3 Februari 2019
28;Jokowi Minta PUPR Segera Perbaiki SMPN 1 Muara Gembong yang Rusak
29;Perbaikan bangunan SMPN 1 Muara Gembong, Bekasi, akan menggunakan dana Kementerian PUPR.
30;kumparanBISNIS
31;30 Januari 2019
32;PUPR Siapkan Rp 450 M untuk Infrastruktur Antisipasi Banjir Jakarta
33;Kementerian PUPR akan membangun stasiun pompa air dengan rute Ancor-Sentiong.
34;kumparanBISNIS
35;30 Januari 2019
36;Proyek Pembangunan Pengendali Banjir Masih Terkendala Dana dan Tanah
37;Imbasnya, realisasi proyek ini tidak sesuai target selama 2018.
38;kumparanBISNIS
39;30 Januari 2019
40;PUPR Akan Bangun 9 Bendungan Senilai Rp 21 Triliun Tahun Ini
41;PUPR memperkirakan proyek pembangunan 9 bendungan tersebut rampung di 2023.
42;kumparanBISNIS
43;30 Januari 2019
44;Pengamat Transportasi: Motor Masuk Tol Malah Bikin Tambah Macet
45;Jalur tol eksisting yang dibangun hanya untuk roda empat ke atas, tidak disiapkan untuk roda dua.
46;kumparanBISNIS
47;29 Januari 2019
48;Bahaya yang Mengintai Pengendara Motor saat Diperbolehkan Masuk Tol
49;Pemerintah punya wacara untuk memperbolehkan sepeda motor melintas di jalan tol.
50;kumparanBISNIS
51;29 Januari 2019
52;Menteri PUPR: Ada Wacana Memperbolehkan Pengendara Motor Melintasi Tol
53;Kebijakan ini baru sebatas kajian yang sedang dipelajari oleh antar instansi pemerintah.
54;kumparanBISNIS
55;29 Januari 2019
56;4 Tahun Era Jokowi: 3.432 Km Jalan Nasional dan 782 Km Tol Terbangun
57;Di tahun 2019 akan dibangun 409 km jalan nasional dan 895 km jalan tol.
58;kumparanBISNIS
59;29 Januari 2019
60;KPK Usut Pengadaan Sistem Air Minum di Donggala yang Diduga Dikorupsi
61;Pengusutan dilakukan KPK dengan memeriksa Mohamad Rizal selaku Kabag Teknik PDAM Kabupaten Donggala.
62;kumparanNEWS
63;28 Januari 2019
64;Saat Pilpres, Bakauheni-Palembang Tersambung Tol Tanpa Putus
65;Tol Bakauheni-Palembang sepanjang 363,4 kilometer (km) akan beroperasi pada April 2019.
66;kumparanBISNIS
67;28 Januari 2019
68;KPK Panggil 2 Sesditjen Cipta Karya PUPR di Kasus Proyek Air Minum
69;KPK ingin mendalami dugaan 20 proyek pengadaan air minum yang dikorupsi.
70;kumparanNEWS
71;25 Januari 2019
72;Batas Atas Harga Rumah Murah Naik, Cek Daftarnya di Sini
73;Saat ini yang tertinggi Rp 205 juta untuk Papua.
74;kumparanBISNIS
75;25 Januari 2019
76;Kementerian PUPR Kaji Ulang Pembangunan Tanggul Raksasa Pantai Jakarta
77;Kementerian PUPR telah sepakat dengan Pemprov DKI Jakarta mengkaji ulang tanggul di pantai Jakarta.
78;kumparanNEWS
79;24 Januari 2019
80;Kementerian PUPR Bikin Balai Khusus Pengadaan untuk Cegah Korupsi
81;Menteri PUPR menilai korupsi proyek air minum terjadi di sektor pengadaan barang dan jasa.
82;kumparanNEWS
83;24 Januari 2019
84;Harga Rumah Subsidi Bakal Naik hingga 7,75 Persen
85;Batas atas harga rumah murah perlu dinaikkan agar pengembang tetap tertarik membangunnya.
86;kumparanBISNIS
87;24 Januari 2019
88;Ini Kabar Terbaru Tol Probolinggo – Banyuwangi
89;beritajatimcom
90;22 Januari 2019
91;SMF Kerja Sama dengan 14 Bank Salurkan Rumah Murah
92;SMF membiayai porsi 25 persen pendanaan KPR FLPP atau rumah murah.
93;kumparanBISNIS
94;17 Januari 2019
95;KPK Cecar Irjen KemenPUPR soal Pemeriksaan Internal Proyek Air Minum
96;KPK mendalami pemeriksaan internal yang dilakukan PUPR untuk memantau proyek air minum SPAM.
97;kumparanNEWS
98;15 Januari 2019
99;KPK Panggil Irjen Kementerian PUPR Terkait Suap Proyek Air Minum
100;Widiarto akan bersaksi untuk tersangka Direktur PT Wijaya Kesuma Emindo (PT WKE) Lily Sundarsih.
101;kumparanNEWS
102;15 Januari 2019
103;PUPR Menarget Jumlah Rumah Tak Layak Huni di 2019 Hanya 1,9 Juta
104;Sebelumnya di tahun 2015, jumlah rumah tidak layak huni mencapai 3,4 juta unit.
105;kumparanBISNIS
106;12 Januari 2019
107;Pemerintah Resmikan Jembatan yang Hubungkan 2 Pulau Terdepan di Maluku
108;Jembatan ini menyambungkan pulau terdepan Indonesia, yakni Pulau Larat dan Pulau Yamdema.
109;kumparanNEWS
110;10 Januari 2019
111;Proyek Tol Semarang-Demak Mulai Dibangun Tahun Ini, Selesai 2021
112;Proyek jalan tol Semarang-Demak mulai dikerjakan pada tahun ini.
113;kumparanBISNIS
114;10 Januari 2019
115;Menteri PUPR Akan Bentuk Direktorat Pembiayaan Infrastruktur Baru
116;Menteri PUPR melakukan perubahan organisasi di kementeriannya.
117;kumparanNEWS
118;9 Januari 2019
119;Batas Atas Harga Rumah yang Disubsidi PUPR Akan Dinaikkan Tahun Ini
120;Harga rumah yang bisa disubsidi Kementerian PUPR akan disesuaikan dengan harga pasar.
121;kumparanBISNIS
122;9 Januari 2019
123;Pemerintah Diminta Terus Serap Karet untuk Campuran Aspal
124;Produksi karet Indonesia saat ini mencapai 3,7 juta ton setiap tahun.
125;kumparanBISNIS
126;9 Januari 2019
127;Ingkar Janji, Menteri PUPR Harus Evaluasi Kepala Balai Wilayah Sungai Maluku
128;Ambonnesia
129;8 Januari 2019
130;Tol Bawen-Yogya-Solo dan Bandung-Tasik Jadi Dibangun Tahun Ini?
131;Proyek Tol Bawen-Yogyakarta-Solo dan Bandung-Tasik masih tahap persiapan.
132;kumparanBISNIS
133;8 Januari 2019
134;Jokowi Juga Tinjau Waduk Senilai Rp 761 Miliar
135;beritajatimcom
136;5 Januari 2019
137;Jokowi Resmi Bentuk Ditjen Pembiayaan Infrastruktur
138;Dibentuknya Ditjen Pembiayaan Infrastruktur adalah untuk memperbesar swasta untuk membangun proyek.
139;kumparanBISNIS
140;4 Januari 2019
141;KPPU Usut 14 Perkara Persekongkolan Tender Proyek Jalan di 2018
142;KPPU mencatat, selama 2018 ada 14 perkara dugaan persekongkolan tender proyek di Kementerian PUPR.
143;kumparanBISNIS
