,sentence,polarity,subjectivity,Sentiment_Type
0,Danang Parikesit Ditunjuk Jadi Kepala Badan Pengatur Jalan Tol,0.0,0.0,Neutral
1,Kementerian PUPR Bangun 1.070 Rumah Khusus di Sulbar,0.35714285714285715,0.5714285714285714,Positive
2,Ada Wacana Harga Rumah yang Bisa Disubsidi Tak Miliki Batas Atas,0.0,0.0,Neutral
3,"Hanya saja, uang pangkal atau DP bisa lebih mahal.",-0.05185185185185185,0.4962962962962963,Negative
4,"Harga Rumah yang Bisa Disubsidi di 2019 Naik, Cek Daftarnya",0.0,0.0,Neutral
5,"Sebanyak 98,68 persen investasi swasta adalah proyek jalan tol.",0.0,0.5625,Neutral
6,PUPR Usul Pembangunan Trans Papua di Nduga Ditunda karena Tak Aman,-0.125,0.375,Negative
7,Jokowi Minta PUPR Segera Perbaiki SMPN 1 Muara Gembong yang Rusak,0.0,0.03333333333333333,Neutral
8,PUPR Siapkan Rp 450 M untuk Infrastruktur Antisipasi Banjir Jakarta,0.0,0.0,Neutral
9,Kementerian PUPR akan membangun stasiun pompa air dengan rute Ancor-Sentiong.,0.0,0.0,Neutral
10,Proyek Pembangunan Pengendali Banjir Masih Terkendala Dana dan Tanah,0.0,0.0,Neutral
11,"Imbasnya, realisasi proyek ini tidak sesuai target selama 2018.",0.0,0.0,Neutral
12,PUPR Akan Bangun 9 Bendungan Senilai Rp 21 Triliun Tahun Ini,0.3,0.1,Positive
13,PUPR memperkirakan proyek pembangunan 9 bendungan tersebut rampung di 2023.,0.0,0.0,Neutral
14,Pengamat Transportasi: Motor Masuk Tol Malah Bikin Tambah Macet,0.0,0.0,Neutral
15,Bahaya yang Mengintai Pengendara Motor saat Diperbolehkan Masuk Tol,0.0,0.0,Neutral
16,Pemerintah punya wacara untuk memperbolehkan sepeda motor melintas di jalan tol.,0.0,0.0,Neutral
17,Menteri PUPR: Ada Wacana Memperbolehkan Pengendara Motor Melintasi Tol,0.0,0.0,Neutral
18,KPK Usut Pengadaan Sistem Air Minum di Donggala yang Diduga Dikorupsi,-0.1,0.1,Negative
19,"Saat Pilpres, Bakauheni-Palembang Tersambung Tol Tanpa Putus",0.0,0.0,Neutral
20,"Tol Bakauheni-Palembang sepanjang 363,4 kilometer (km) akan beroperasi pada April 2019.",0.0,0.0,Neutral
21,KPK ingin mendalami dugaan 20 proyek pengadaan air minum yang dikorupsi.,-0.13333333333333333,0.39999999999999997,Negative
22,"Batas Atas Harga Rumah Murah Naik, Cek Daftarnya di Sini",0.2,0.35,Positive
23,Saat ini yang tertinggi Rp 205 juta untuk Papua.,0.0,0.0,Neutral
24,Kementerian PUPR Kaji Ulang Pembangunan Tanggul Raksasa Pantai Jakarta,0.0,1.0,Neutral
25,Kementerian PUPR Bikin Balai Khusus Pengadaan untuk Cegah Korupsi,0.17857142857142858,0.319047619047619,Positive
26,"Harga Rumah Subsidi Bakal Naik hingga 7,75 Persen",0.0,0.0,Neutral
27,Ini Kabar Terbaru Tol Probolinggo – Banyuwangi,0.5,0.9,Positive
28,SMF Kerja Sama dengan 14 Bank Salurkan Rumah Murah,0.0,0.0,Neutral
29,SMF membiayai porsi 25 persen pendanaan KPR FLPP atau rumah murah.,0.0,0.0,Neutral
30,KPK Cecar Irjen KemenPUPR soal Pemeriksaan Internal Proyek Air Minum,0.02500000000000001,0.25,Positive
31,KPK Panggil Irjen Kementerian PUPR Terkait Suap Proyek Air Minum,0.05000000000000002,0.5,Positive
32,Pemerintah Resmikan Jembatan yang Hubungkan 2 Pulau Terdepan di Maluku,0.0,0.0,Neutral
33,"Proyek Tol Semarang-Demak Mulai Dibangun Tahun Ini, Selesai 2021",0.0,0.0,Neutral
34,Proyek jalan tol Semarang-Demak mulai dikerjakan pada tahun ini.,0.0,0.0,Neutral
35,Menteri PUPR Akan Bentuk Direktorat Pembiayaan Infrastruktur Baru,0.13636363636363635,0.45454545454545453,Positive
36,Menteri PUPR melakukan perubahan organisasi di kementeriannya.,0.0,0.0,Neutral
37,Batas Atas Harga Rumah yang Disubsidi PUPR Akan Dinaikkan Tahun Ini,0.0,0.0,Neutral
38,Pemerintah Diminta Terus Serap Karet untuk Campuran Aspal,0.2,0.95,Positive
39,"Produksi karet Indonesia saat ini mencapai 3,7 juta ton setiap tahun.",0.0,0.4,Neutral
40,"Ingkar Janji, Menteri PUPR Harus Evaluasi Kepala Balai Wilayah Sungai Maluku",0.0,0.0,Neutral
41,Tol Bawen-Yogya-Solo dan Bandung-Tasik Jadi Dibangun Tahun Ini?,0.0,0.0,Neutral
42,Proyek Tol Bawen-Yogyakarta-Solo dan Bandung-Tasik masih tahap persiapan.,0.0,0.0,Neutral
43,Jokowi Juga Tinjau Waduk Senilai Rp 761 Miliar,0.3,0.1,Positive
44,Jokowi Resmi Bentuk Ditjen Pembiayaan Infrastruktur,0.05000000000000002,0.5,Positive
45,Dibentuknya Ditjen Pembiayaan Infrastruktur adalah untuk memperbesar swasta untuk membangun proyek.,0.02500000000000001,0.4375,Positive
46,KPPU Usut 14 Perkara Persekongkolan Tender Proyek Jalan di 2018,0.0,0.0,Neutral
47,"Penyaluran KPR Bersubsidi Capai 57 Ribu di 2018, Naik 143 Persen",0.0,0.0,Neutral
48,Padahal target yang ditetapkan pemerintah hanya 42.000 unit.,0.0,1.0,Neutral
49,PUPR Segera Copot Jabatan 4 Pegawainya yang Terjerat OTT KPK,0.0,0.0,Neutral
50,PUPR juga tengah mempertimbangkan memutus kontrak penyedia jasa yang menyuap pegawainya.,0.0,0.0,Neutral
51,KPK Amankan Pejabat Kementerian PUPR dan Sejumlah Uang,0.0,0.0,Neutral
52,Menteri PUPR Sesalkan Anak Buahnya Terkena OTT KPK,-0.1,0.2,Negative
53,Basuki Hadimuljono menyebut kementeriannya telah melakukan sejumlah upaya preventif cegah korupsi.,0.0,0.0,Neutral
54,KPK Sebut OTT Kementerian PUPR Terkait Proyek Saluran Air di Daerah,0.0,0.4,Neutral
55,KPK menjerat 20 orang dalam OTT ini.,0.0,0.0,Neutral
56,"Pejabatnya Di-OTT KPK, Kementerian PUPR Belum Pastikan Bantuan Hukum",0.2,0.2,Positive
57,Pejabat Kementerian PUPR yang Ditangkap KPK dari Ditjen Cipta Karya,0.02500000000000001,0.3,Positive
58,OTT Pejabat PUPR Diduga Terkait Penyediaan Air untuk Tanggap Bencana,0.0,0.4,Neutral
59,Gambaran 3 Prodi yang Akan Dibuka di Politeknik PUPR,0.0,0.0,Neutral
60,5 Fakta Terkini Flyover Cengkareng yang Renggang,0.5,0.9,Positive
61,Target Perbaikan Flyover Rawa Buaya-Cengkareng Selesai 3 Januari 2019,0.0,0.0,Neutral
62,"Kementerian PUPR mulai memperbaiki Flyover Rawa Buaya, Cengkareng, yang renggang.",0.0,0.0,Neutral
63,PUPR Soal Flyover Rawa Buaya Renggang: Sudah Waktunya Diganti,0.0,0.0,Neutral
64,"Kekurangan Pekerja Konstruksi Andal, PUPR Bangun Politeknik PU",0.0,0.0,Neutral
65,Politeknik PU akan dibangun di Semarang dan memiliki 3 program studi.,0.0,0.0,Neutral
66,"PUPR Akan Bangun Fasos, Fasum, dan Rumah Korban Tsunami Selat Sunda",0.0,0.0,Neutral
67,PUPR Pastikan Tol Salatiga-Kertasura Ambrol karena Tergerus Air Hujan,-0.125,0.375,Negative
68,Tol Salatiga-Kartasura kilometer 489 yang terletak di Desa Tanjungsari ambrol.,0.0,0.0,Neutral
69,Tahun Depan Milenial Bisa Beli Rumah Subsidi,0.0,0.0,Neutral
70,"Realisasi Rumah Subsidi Capai 48.000 Unit, 85 Persen dari Target",0.0,0.0,Neutral
71,PUPR Gandeng 25 Bank Salurkan 68.858 Unit Rumah Subsidi di 2019,0.0,0.0,Neutral
72,"Tekan Tombol Sirine, Jokowi Resmikan Tol Wilangan-Kertosono",0.0,0.0,Neutral
73,Begini Komentar Menteri PUPR Soal Jalan Raya Gubeng,0.0,0.06666666666666667,Neutral
74,Kementerian PUPR Jelaskan Sebab Jalan Gubeng Amblas,0.0,0.0,Neutral
75,Tol Jakarta-Surabaya Terbuka untuk Umum Mulai 20 Desember 2018,0.0,0.2222222222222222,Neutral
76,Presiden Jokowi akan meresmikan empat ruas jalan tol tersebut.,0.0,0.0,Neutral
77,"PUPR Buka Opsi Milenial Bisa Sewa Wisma Atlet, Berapa Tarifnya?",0.2,0.2,Positive
78,Jembatan Darurat Padang-Bukittinggi untuk 1 Arah,0.0,0.0,Neutral
79,"Jembatan Bailey Selesai, Jalur Utama Padang-Bukittinggi Dibuka",0.16666666666666666,0.3333333333333333,Positive
80,Akan dibuat satu jembatan bailey lagi di samping jembatan yang pertama.,0.125,0.16666666666666666,Positive
81,Kondisi Terkini Pembangunan Jembatan Bailey di Jalur Padang-Bukittinggi,0.0,0.4,Neutral
82,Cuaca buruk mengakibatkan jembatan darurat itu belum selesai hingga Sabtu (15/12).,-0.6999999999999998,0.6666666666666666,Negative
83,Uji Coba Jembatan Bailey di Jalur Padang-Bukittinggi Ditunda,0.0,0.0,Neutral
84,Terkendala oleh cuaca buruk sejak Jumat (14/12).,-0.6999999999999998,0.6666666666666666,Negative
