,sentence,sentiment,polarity,Sentiment_Type
0,"Harga Rumah Subsidi Bakal Naik hingga 7,75 Persen",0.0,0.0,Neutral
1,"Diskon 15 Persen, Tarif Tol Trans Jawa Jakarta-Pasuruan Cuma Rp 624.500",0.0,1.0,Neutral
2,Menteri Basuki Minta Warga Tak Buang Sampah di Sungai dan Bendungan,0.0,0.0,Neutral
3,"Mulai Penggenangan, Bendungan Mila Pasok Air ke 1.689 Ha Lahan Irigasi di Dompu",0.0,0.1,Neutral
4,17.500 Rumah MBR di Padang Nikmati Program Hibah Air Minum,0.4,0.5,Positive
5,Pembangunan Jalan dan Jembatan Tumbuhkan Sentra Ekonomi Baru di Pulau Terluar,0.16818181818181818,0.32727272727272727,Positive
6,Tol Medan-Kualanamu-Tebing Tinggi Seksi 7 Siap Beroperasi Penuh,0.275,0.525,Positive
7,Kementerian PUPR Imbau Pemda Optimalkan Tempat Evakuasi Sementara,0.0,0.044444444444444446,Neutral
8,KPK Periksa 2 Saksi Terkait Kasus Suap Proyek Air Kementerian PUPR,0.0,0.0,Neutral
9,Kementerian PUPR Rampungkan Ruas Jalan Jayapura-Wamena,0.0,0.0,Neutral
10,SPAM Bandung Raya Suplai Air Bersih buat 140 Ribu Warga,0.3666666666666667,0.7000000000000001,Positive
11,"Dibangun Pakai Dana SBSN, Jembatan Musi 4 Kini Bisa Dilalui Warga",0.0,0.0,Neutral
12,Jembatan Penghubung 2 Pulau Terdepan di Maluku Resmi Beroperasi,0.0,0.0,Neutral
13,Kementerian PUPR Target Serap 2.542 Ton Aspal Karet di 2019,0.0,0.0,Neutral
14,Menteri PUPR dan Sri Mulyani Resmikan Dua Proyek di Ambon,0.0,0.0,Neutral
15,Jalan Akses menuju Kawasan Wisata Mandeh di Sumatera Barat Rampung,0.0,0.0,Neutral
16,"Pertama Kali, Program Satu Juta Rumah Lampaui Target",0.25,0.3333333333333333,Positive
17,Bantahan Kementerian PUPR Soal Isu Utang Asing pada Sistem Transaksi Tol,-0.125,0.125,Negative
18,Pembangunan Gedung Baru Sekretariat ASEAN Ditargetkan Rampung Maret 2019,0.13636363636363635,0.45454545454545453,Positive
19,Cara Kementerian PUPR Tingkatkan Kualitas Kesehatan Warga Sumatera Barat,0.0,0.06666666666666667,Neutral
20,KPK Panggil Pegawai Kementerian PUPR terkait Kasus Suap Proyek Air Minum,0.0,0.0,Neutral
21,Kementerian PUPR Selesaikan 190 Unit Hunian Sementara di Sulteng,0.0,0.25,Neutral
22,"Ada Tol Trans Jawa, Pengiriman Barang Bisa Tiga Kali dalam Sehari",0.0,0.0,Neutral
23,KPK Geledah Kantor PT WKE Terkait Korupsi di Kementerian PUPR,0.0,0.0,Neutral
24,Begini Langkah Kementerian PUPR Usai Pegawainya Terkena OTT KPK,0.0,0.0,Neutral
25,Menteri PUPR: Infrastruktur Kerakyatan Tetap Jadi Prioritas di 2019,0.6,0.9,Positive
26,Underpass Brigjen Katamso Medan Siap Beroperasi pada 2019,0.2,0.5,Positive
27,"Pegawai Kena OTT, Menteri PUPR Serahkan Proses Hukum kepada KPK",0.037500000000000006,0.2875,Positive
28,"Anak Buah Tertangkap OTT KPK, Begini Respons Menteri PUPR",0.0,0.0,Neutral
29,"OTT Pejabat Kementerian PUPR, KPK Sita Uang Singapura",0.0,0.0,Neutral
30,"Dampak Tsunami Selat Sunda, Pemerintah Pakai APBN Perbaiki Fasilitas yang Rusak",0.0,0.0,Neutral
