,comment,like,owner,shortcode,timestamp,account,date,time
0,0,10,3411126361,B04p7NSg53K,2019-08-08 01:52:33,https://www.instagram.com/p/B04p7NSg53K/,2019-08-08,01:52:33
1,2,27,394754410,B04cIAZgjhx,2019-08-07 23:51:58,https://www.instagram.com/p/B04cIAZgjhx/,2019-08-07,23:51:58
2,0,27,472842445,B04bzX-HK_O,2019-08-07 23:49:09,https://www.instagram.com/p/B04bzX-HK_O/,2019-08-07,23:49:09
3,0,18,1445430148,B03xlyNju0x,2019-08-07 17:40:18,https://www.instagram.com/p/B03xlyNju0x/,2019-08-07,17:40:18
4,0,26,3477007260,B03sSRhAZMg,2019-08-07 16:53:57,https://www.instagram.com/p/B03sSRhAZMg/,2019-08-07,16:53:57
5,1,18,3539889063,B03f3xQBTD4,2019-08-07 15:05:28,https://www.instagram.com/p/B03f3xQBTD4/,2019-08-07,15:05:28
6,0,21,1346849030,B03eN3CB6fx,2019-08-07 14:51:00,https://www.instagram.com/p/B03eN3CB6fx/,2019-08-07,14:51:00
7,1,23,1780947931,B03bzynHDxr,2019-08-07 14:29:58,https://www.instagram.com/p/B03bzynHDxr/,2019-08-07,14:29:58
8,2,7,2046768428,B03WXaKpmre,2019-08-07 13:42:24,https://www.instagram.com/p/B03WXaKpmre/,2019-08-07,13:42:24
9,0,44,594968558,B03UaUUFJ_H,2019-08-07 13:25:20,https://www.instagram.com/p/B03UaUUFJ_H/,2019-08-07,13:25:20
10,0,3,1355583763,B03Q8F7HB4r,2019-08-07 12:54:59,https://www.instagram.com/p/B03Q8F7HB4r/,2019-08-07,12:54:59
11,0,90,1434276572,B03PWPWHqGH,2019-08-07 12:41:05,https://www.instagram.com/p/B03PWPWHqGH/,2019-08-07,12:41:05
12,0,51,1458303155,B03Mo0Cjuyl,2019-08-07 12:17:24,https://www.instagram.com/p/B03Mo0Cjuyl/,2019-08-07,12:17:24
13,16,158,8727010621,B03MNNQAkHd,2019-08-07 12:13:38,https://www.instagram.com/p/B03MNNQAkHd/,2019-08-07,12:13:38
14,13,43,274815706,B03Lh4_lmbV,2019-08-07 12:07:43,https://www.instagram.com/p/B03Lh4_lmbV/,2019-08-07,12:07:43
15,0,24,2080851102,B03KrY6JB9q,2019-08-07 12:00:16,https://www.instagram.com/p/B03KrY6JB9q/,2019-08-07,12:00:16
16,3,10,1087275120,B03JkE2FzHs,2019-08-07 11:50:32,https://www.instagram.com/p/B03JkE2FzHs/,2019-08-07,11:50:32
17,0,2,3116368364,B03JA46HusL,2019-08-07 11:46:10,https://www.instagram.com/p/B03JA46HusL/,2019-08-07,11:46:10
18,4,104,327922107,B03DihmnEvq,2019-08-07 10:57:54,https://www.instagram.com/p/B03DihmnEvq/,2019-08-07,10:57:54
19,6,30,526833538,B03Bq--FM6Q,2019-08-07 10:41:35,https://www.instagram.com/p/B03Bq--FM6Q/,2019-08-07,10:41:35
20,0,36,1993356876,B03BHWMHRbF,2019-08-07 10:36:43,https://www.instagram.com/p/B03BHWMHRbF/,2019-08-07,10:36:43
21,0,61,1183545034,B02-YQ_BGJ7,2019-08-07 10:12:48,https://www.instagram.com/p/B02-YQ_BGJ7/,2019-08-07,10:12:48
22,1,56,487249685,B0296jJhwkR,2019-08-07 10:08:45,https://www.instagram.com/p/B0296jJhwkR/,2019-08-07,10:08:45
23,0,18,4261715017,B029IPXnDkr,2019-08-07 10:01:53,https://www.instagram.com/p/B029IPXnDkr/,2019-08-07,10:01:53
24,1,36,1501998988,B028P99gIUo,2019-08-07 09:54:12,https://www.instagram.com/p/B028P99gIUo/,2019-08-07,09:54:12
25,3,81,5949067221,B026AhFhiz3,2019-08-07 09:34:37,https://www.instagram.com/p/B026AhFhiz3/,2019-08-07,09:34:37
26,0,24,1527963844,B025QuUJ5XA,2019-08-07 09:28:05,https://www.instagram.com/p/B025QuUJ5XA/,2019-08-07,09:28:05
27,10,1601,3057432082,B023sv6gfyj,2019-08-07 09:14:26,https://www.instagram.com/p/B023sv6gfyj/,2019-08-07,09:14:26
28,0,30,620796197,B023nYxB8GN,2019-08-07 09:13:42,https://www.instagram.com/p/B023nYxB8GN/,2019-08-07,09:13:42
29,0,38,644019308,B022t8ZjuKW,2019-08-07 09:05:52,https://www.instagram.com/p/B022t8ZjuKW/,2019-08-07,09:05:52
30,0,32,3187383235,B02xU3vFhND,2019-08-07 08:18:45,https://www.instagram.com/p/B02xU3vFhND/,2019-08-07,08:18:45
31,2,90,1659319956,B02xSm8F3m5,2019-08-07 08:18:26,https://www.instagram.com/p/B02xSm8F3m5/,2019-08-07,08:18:26
32,15,657,542634023,B02r61SnYOA,2019-08-07 07:31:30,https://www.instagram.com/p/B02r61SnYOA/,2019-08-07,07:31:30
33,0,3,6132953721,B02qEpKFWzw,2019-08-07 07:15:22,https://www.instagram.com/p/B02qEpKFWzw/,2019-08-07,07:15:22
34,15,29,5698912760,B02m56kHYQI,2019-08-07 06:47:41,https://www.instagram.com/p/B02m56kHYQI/,2019-08-07,06:47:41
