,newsdesc,newstitle,titledesc
0,Presiden Jokowi beserta Ibu Negara mengunjungi Benteng Van Den Bosch.,Jokowi Telepon Menteri PUPR Minta Benteng Van Den Bosch Dipercantik,Presiden Jokowi beserta Ibu Negara mengunjungi Benteng Van Den Bosch. Jokowi Telepon Menteri PUPR Minta Benteng Van Den Bosch Dipercantik
1,Presiden sangat mendukung kegiatan pembangunan rumah berbasis komunitas.,PUPR Ajak Komunitas Bantu Wujudkan Program Satu Juta Rumah,Presiden sangat mendukung kegiatan pembangunan rumah berbasis komunitas. PUPR Ajak Komunitas Bantu Wujudkan Program Satu Juta Rumah
2,"""Kapasitas Michael sebagai saksi diperiksa untuk tersangka BS (Budi Suharto),""","Kasus Proyek Air Minum Kementrian PUPR, KPK Panggil Staf Keuangan PT. WKE","""Kapasitas Michael sebagai saksi diperiksa untuk tersangka BS (Budi Suharto),"" Kasus Proyek Air Minum Kementrian PUPR, KPK Panggil Staf Keuangan PT. WKE"
3,"Rusun dilengkapi lift, meubelair, hingga prasarana, sarana dan utilitas (PSU).",TNI Kodam Jaya Telah Tempati Rusun yang Dibangun PUPR,"Rusun dilengkapi lift, meubelair, hingga prasarana, sarana dan utilitas (PSU). TNI Kodam Jaya Telah Tempati Rusun yang Dibangun PUPR"
4,PUPR telah menyelesaikan pembangunan lima rumah susun untuk anggota TNI Kodam Jaya.,"5 Rusun TNI Dibangun di Jaktim, Kementerian PUPR : Semoga Mereka Nyaman","PUPR telah menyelesaikan pembangunan lima rumah susun untuk anggota TNI Kodam Jaya. 5 Rusun TNI Dibangun di Jaktim, Kementerian PUPR : Semoga Mereka Nyaman"
5,Kerja sama tersebut merupakan tindak lanjut dari Nawa Cita terutama untuk pemerataan pembangunan.,Kementerian PUPR dan TNI Tingkatkan Kerja Sama Bangun NKRI,Kerja sama tersebut merupakan tindak lanjut dari Nawa Cita terutama untuk pemerataan pembangunan. Kementerian PUPR dan TNI Tingkatkan Kerja Sama Bangun NKRI
6,"Menurutnya, sistem pompa tersebut akan menyedot air yang meluap di kali Sentiong sehingga bisa meminalisir banjir di Jakarta Utara dan sekitarnya.","Bangun Pompa Sedot di Kali Sentiong, PUPR Siapkan Anggaran Rp 450 Miliar","Menurutnya, sistem pompa tersebut akan menyedot air yang meluap di kali Sentiong sehingga bisa meminalisir banjir di Jakarta Utara dan sekitarnya. Bangun Pompa Sedot di Kali Sentiong, PUPR Siapkan Anggaran Rp 450 Miliar"
7,Sepanjang 2015 sampai 2019 total ada 65 bendungan yang sudah dan akan dibangun,Tahun Ini Kementerian PUPR Bangun 9 Bendungan Senilai Rp 21 Triliun,Sepanjang 2015 sampai 2019 total ada 65 bendungan yang sudah dan akan dibangun Tahun Ini Kementerian PUPR Bangun 9 Bendungan Senilai Rp 21 Triliun
8,Nivalia akan diperiksa sebagai saksi untuk tersangka Anggiat Partunggal Nahot Simaremare selaku Kepala Satuan Kerja SPAM Lampung.,"Suap Air Minum di Kementerian PUPR, KPK Periksa Pejabat Bank BRI","Nivalia akan diperiksa sebagai saksi untuk tersangka Anggiat Partunggal Nahot Simaremare selaku Kepala Satuan Kerja SPAM Lampung. Suap Air Minum di Kementerian PUPR, KPK Periksa Pejabat Bank BRI"
9,"Menteri PUPR, Basuki Hadimuljono mengatakan sudah ada aturan yang mengizinkan sepeda motor masuk jalan tol, yakni Peraturan Pemerintah Nomor 44 Tahun 2009.",Menteri PUPR Tak Keberatan Motor Masuk Tol,"Menteri PUPR, Basuki Hadimuljono mengatakan sudah ada aturan yang mengizinkan sepeda motor masuk jalan tol, yakni Peraturan Pemerintah Nomor 44 Tahun 2009. Menteri PUPR Tak Keberatan Motor Masuk Tol"
10,Untuk menindaklanjuti instruksi Presiden Jokowi terkait percepatan penanganan kemacetan.,Intip Upaya Kementerian PUPR Bantu Urai Kemacetan Jabodetabek,Untuk menindaklanjuti instruksi Presiden Jokowi terkait percepatan penanganan kemacetan. Intip Upaya Kementerian PUPR Bantu Urai Kemacetan Jabodetabek
11,"""9 program akan tercapai, 8 tercapai dengan kerja keras, 3 mungkin tidak akan tercapai,",Menteri PUPR Optimis Pembangunan Infrastruktur dalam RPJMN Tercapai,"""9 program akan tercapai, 8 tercapai dengan kerja keras, 3 mungkin tidak akan tercapai, Menteri PUPR Optimis Pembangunan Infrastruktur dalam RPJMN Tercapai"
12,Untuk mewujudkan ketahanan pangan nasional yang menjadi bagian Nawa Cita.,"Bantu Pengairan Sawah Petani, PUPR Rehabilitasi Bendung Gerak Sembayat","Untuk mewujudkan ketahanan pangan nasional yang menjadi bagian Nawa Cita. Bantu Pengairan Sawah Petani, PUPR Rehabilitasi Bendung Gerak Sembayat"
13,Tercatat 6 daerah yang terdampak langsung bencana banjir di Sulsel.,Menteri PUPR Dampingi Wapres JK Tinjau Penanganan Banjir Sulsel,Tercatat 6 daerah yang terdampak langsung bencana banjir di Sulsel. Menteri PUPR Dampingi Wapres JK Tinjau Penanganan Banjir Sulsel
14,Kini Labuan Bajo lebih tertata rapi dan siap menjadi salah satu destinasi wisata.,"Percantik Kawasan Wisata Labuan Bajo PUPR Gelontorkan Rp 40,35 Miliar","Kini Labuan Bajo lebih tertata rapi dan siap menjadi salah satu destinasi wisata. Percantik Kawasan Wisata Labuan Bajo PUPR Gelontorkan Rp 40,35 Miliar"
15,"Terkini, KPK sedang menelisik dana suap proyek air minum untuk korban bencana itu yang diduga mengalir melalui transaksi perbankan.",Polisi Endus Aliran Suap Proyek Air Minum PUPR Lewat Transaksi Bank,"Terkini, KPK sedang menelisik dana suap proyek air minum untuk korban bencana itu yang diduga mengalir melalui transaksi perbankan. Polisi Endus Aliran Suap Proyek Air Minum PUPR Lewat Transaksi Bank"
16,"Tiga saksi akan diperiksa untuk tersangka Anggiat Partunggal, yakni dari unsur swasta masing-masing Agus Gendroyono, Soltan Simangunsong, dan Gibson Nainggolan.",KPK Periksa 6 Saksi Kasus Suap di Kementerian PUPR untuk 3 Tersangka,"Tiga saksi akan diperiksa untuk tersangka Anggiat Partunggal, yakni dari unsur swasta masing-masing Agus Gendroyono, Soltan Simangunsong, dan Gibson Nainggolan. KPK Periksa 6 Saksi Kasus Suap di Kementerian PUPR untuk 3 Tersangka"
17,Juru Bicara KPK Febri Diansyah menduga modus praktik korupsi di puluhan proyek tersebut sangat mirip dengan kasus suap proyek SPAM.,KPK: Ada 20 Proyek di Kementerian PUPR Terindikasi Korupsi,Juru Bicara KPK Febri Diansyah menduga modus praktik korupsi di puluhan proyek tersebut sangat mirip dengan kasus suap proyek SPAM. KPK: Ada 20 Proyek di Kementerian PUPR Terindikasi Korupsi
18,Diskusi juga mencari solusi serta menyusun konsep perumahan yang ideal.,"Cari Solusi Masalah Perumahan, Kementerian PUPR Gelar Forum Reboan","Diskusi juga mencari solusi serta menyusun konsep perumahan yang ideal. Cari Solusi Masalah Perumahan, Kementerian PUPR Gelar Forum Reboan"
19,"Perumahan akan dibangun di Desa Cilawu, Kecamatan Ngamplangsari, Kabupaten Garut.",Kementerian PUPR Fasilitasi Tukang Cukur Asal Garut Miliki Rumah,"Perumahan akan dibangun di Desa Cilawu, Kecamatan Ngamplangsari, Kabupaten Garut. Kementerian PUPR Fasilitasi Tukang Cukur Asal Garut Miliki Rumah"
20,Kebutuhan rumah masyarakat akan terus meningkat setiap tahunnya.,"Pada 2019, PUPR Targetkan Bangun 1,25 Juta Rumah","Kebutuhan rumah masyarakat akan terus meningkat setiap tahunnya. Pada 2019, PUPR Targetkan Bangun 1,25 Juta Rumah"
21,Kedua pejabat PUPR itu dijadwalkan diperiksa sebagai saksi untuk tersangka Lily Sundarsi,"Suap Proyek Air Minum untuk Korban Bencana, KPK Panggil 2 Pejabat PUPR","Kedua pejabat PUPR itu dijadwalkan diperiksa sebagai saksi untuk tersangka Lily Sundarsi Suap Proyek Air Minum untuk Korban Bencana, KPK Panggil 2 Pejabat PUPR"
22,"Dalam kasus ini, KPK telah menetapkan delapan orang sebagai tersangka.","Kasus Suap Air Minum untuk Korban Bencana, KPK Periksa 2 Pejabat PUPR","Dalam kasus ini, KPK telah menetapkan delapan orang sebagai tersangka. Kasus Suap Air Minum untuk Korban Bencana, KPK Periksa 2 Pejabat PUPR"
