,sentence,sentiment,polarity,Sentiment_Type
0,"Soal Proyek Tol Yogya-Bawen, Kemenko Ekonomi: Tunggu Jateng Oke",0.25,0.375,Positive
1,Akses dari Tol Trans Jawa ke Jalan Nasional Masih Kurang Memadai,0.0,0.0,Neutral
2,Bendungan Mila Siap Alirkan Air ke 1.689 Ha Lahan di Dompu,0.2,0.5,Positive
3,Pejabat Kementerian PUPR Kena OTT KPK,0.0,0.06666666666666667,Neutral
4,"Bertemu Jokowi, Ridwan Kamil Ingin Situ Bagendit Jadi Destinasi Dunia",0.2,0.1,Positive
5,Jokowi Tinjau Bantuan Rusun di Ponpes Ustaz Adi Hidayat Belajar,0.0,0.0,Neutral
6,5 Objek Wisata Populer Jawa Tengah yang Tak Kalah dengan Malaysia,0.3,0.575,Positive
7,Apiknya Rusun di Pesantren Garut yang Dikunjungi Jokowi,0.0,0.0,Neutral
8,Warga Padang Nikmati Program Hibah Air,0.4,0.5,Positive
9,Melihat Infrastruktur Jalan dan Jembatan di Pulau Terdepan RI,0.0,0.0,Neutral
10,Bendungan Rotiklot di Perbatasan RI-Timor Leste Rampung,0.0,0.0,Neutral
11,"Wajah Rumah Khusus di Papua, untuk Pemuka Adat hingga Eks OPM",0.35714285714285715,0.5714285714285714,Positive
12,Patung Keris di Solo Dinilai Bisa Kaburkan Pemahaman Generasi Muda,0.1,0.4,Positive
13,"Kejar Sertifikat Kelaikan, Proyek Tol Wilangan-Kertosono Dikebut",0.0,0.0,Neutral
14,Kata Menhan soal Tingkat Kepatuhan LHKPN Kemhan Paling Rendah,0.0,0.0,Neutral
15,3 Tersangka Korupsi Irigasi Cihara Banten Ditahan,0.0,0.0,Neutral
16,"Marak Pungli Dana Gempa, Ahli Pidana: Hukuman Belum Maksimal",-0.4,0.55,Negative
17,KPK Cecar Irjen PUPR soal Pemeriksaan Internal Proyek SPAM,0.02500000000000001,0.25,Positive
18,Kemen-PUPR Janjikan Palu Bersih dari Puing dalam 2 Minggu,0.3666666666666667,0.7000000000000001,Positive
19,Tim Mediasi Kemenkum HAM Periksa Maraton Sengketa Perda,0.0,0.1,Neutral
20,KPK Periksa Inspektur Jenderal Kementerian PUPR Jadi Saksi Suap SPAM,0.05000000000000002,0.5,Positive
21,"Usai Rapat Bencana, Jokowi Lanjut Bahas Kendaraan Listrik",0.0,0.0,Neutral
22,"Debit Air Menurun, Permukiman yang Hilang di Jatigede Muncul",0.0,0.0,Neutral
23,Mengintip Pembangunan Jembatan Pulau Balang di Kalimantan,0.0,0.0,Neutral
24,Begini Perjuangan Bangun Jalan Perbatasan di Kalimantan,0.0,0.0,Neutral
25,"RI bakal Punya 134 Jembatan Gantung, Tersebar di 20 Provinsi",0.0,0.0,Neutral
26,"Infrastruktur Anti Banjir Dibangun di Palembang, Ini Proyeknya",0.0,0.0,Neutral
27,KPK: Tingkat Kepatuhan Kemhan Paling Rendah soal LHKPN,0.0,0.0,Neutral
28,Trans Papua Buka Peluang Bisnis Sewa Mobil,0.0,0.0,Neutral
29,Kendaraan Banyak Terjebak di Jalan Trans Papua yang Rusak,0.15,0.25,Positive
30,"Cuaca Buruk, Proyek Jalan Trans Papua Rusak Berat",-0.6999999999999998,0.6666666666666666,Negative
31,Bisakah Jakarta Jadi Kota Ramah Sepeda?,0.0,0.0,Neutral
32,"Dibuka Lagi, Begini Potret Flyover Rawabuaya yang Tak Lagi Renggang",-0.05,0.0,Negative
33,"Lombok Bebenah, Fasilitas Umum Ditargetkan Rampung Akhir 2018",0.0,0.06666666666666667,Neutral
34,"Selesai Diperbaiki, Flyover Rawabuaya Sudah Bisa Dilewati Kendaraan",0.1,0.4,Positive
35,Rusunawa di Mojokerto Belum Siap Huni karena Terganjal Perwali,-0.1,0.5,Negative
36,Membangkitkan Pariwisata Banten dan Lampung Pasca Tsunami,0.0,0.0,Neutral
37,"Meliuk di Antara Hutan, 9 Jalan Pulau Terdepan di Maluku Mulus",0.1,0.1,Positive
38,"Hubungkan 2 Pulau di Maluku, Pemerintah Bangun Jembatan 323 Meter",0.0,0.0,Neutral
39,"Labuan Bajo Ditata Pemerintah, Begini Perkembangannya",0.0,0.0,Neutral
40,Mulusnya Jalan Pulau Terdepan RI di Maluku,0.4,0.5,Positive
41,Mulusnya Jalan di Pulau Terdepan Ini Bikin Bangga,0.6000000000000001,0.75,Positive
42,Solusi Pemerintah Dongkrak Harga Karet Petani,0.0,0.0,Neutral
43,Sri Mulyani Resmikan Jembatan di Maluku yang Dibangun Pakai Utang,0.0,0.0,Neutral
44,Bangunan Proyek Air Minum yang Dibiayai APBN di Riau Roboh,0.0,0.0,Neutral
45,Beda Suara Pengusaha soal Puluhan Ribu Kontraktor Gulung Tikar,0.0,0.6,Neutral
46,"Gaji Belum Dibayar, Pekerja Proyek Rusunawa ASN di Malang Mogok Kerja",0.2,0.4,Positive
47,"1,13 Juta Unit Rumah Terbangun Sepanjang 2018",0.0,0.0,Neutral
48,Kementerian PUPR Kembali Panggil Waskita soal Kecelakaan Kerja,0.0,0.0,Neutral
49,"Prabowo Klaim Unggul 3-0, Jokowi Klaim Menang 5-0",0.75,0.65,Positive
50,"Di Palu, Prabowo Singgung Pejabat yang Korupsi Bantuan Bencana Alam",0.1,0.4,Positive
51,Timses Prabowo Sebut Pemerintah Tak Berpihak ke Kontraktor Swasta,0.0,0.375,Neutral
52,"Dulu Kayu dan Daun, Rumah Warga Rote Barat Dipermak Jadi Kokoh",-0.16666666666666666,0.16666666666666666,Negative
53,Ini Lho Proyek Jalan Rp 325 M yang Pisahkan RI dan Malaysia,0.0,0.0,Neutral
54,Keren! Ini Lho 2 PLBN yang Menunggu Diresmikan Jokowi,0.4375,0.65,Positive
55,Penampakan Zeni TNI AD yang Tembus Hutan Bangun Trans Papua,0.0,0.0,Neutral
56,"Keren! Trans Papua Tembus Hutan, di Antara Bukit dan Laut",0.4375,0.65,Positive
57,"Ada Lahan Belum Bebas, Bagaimana Nasib Proyek Jembatan Musi VI?",-0.2,0.8,Negative
58,2 Kendala Jadi Sebab Molornya Pengurukan Proyek Basemen RS Siloam,0.0,0.0,Neutral
59,Jokowi Kumpulkan Menteri Bahas Kemacetan di Jabodetabek,0.0,0.0,Neutral
60,Pemerintah Gandeng Swasta Rombak RS di Aceh,0.0,0.375,Neutral
61,"Proyek BIUTR Dibangun Tahun Ini, Sekda Jabar : Tunggu MoU Selesai",0.0,0.0,Neutral
62,PUPR Jawab Isu Miring Uang Elektronik Jalan Tol Dikuasai Asing,0.0,0.0,Neutral
63,Waskita Siap Dimoratorium Kementerian PUPR ,0.1,0.2833333333333333,Positive
64,Habiburokhman: Prabowo Unggul 3-0 dari Jokowi di Materi Debat Perdana,0.15,0.1,Positive
65,KPK Buka Peluang Jerat Korporasi di Kasus Suap Proyek SPAM,0.0,0.0,Neutral
66,Alasan KPK Pakai Borgol Jempol hingga Tahanan Seborgol Berdua,0.0,0.0,Neutral
67,Menengok Cantiknya Jembatan Gantung di Pelosok RI,0.375,0.6,Positive
68,Foto: Mau Lihat Jalan Trans Papua Dibangun? Nih Foto-fotonya,0.0,0.0,Neutral
69,"Pembangunan di Sulbar Digenjot, Ini Hasilnya",0.0,0.0,Neutral
70,Foto: Begini Tanggul Laut yang Dibangun untuk Halau Banjir Rob,0.0,0.0,Neutral
71,Penampakan Sampah Plastik Disulap Jadi Aspal,0.0,0.0,Neutral
72,"Beredar Laporan Kualitas Infrastruktur RI Rendah, Ini Kata Bank Dunia",0.0,0.3,Neutral
73,"Perbaikan Flyover Rawabuaya Hampir Rampung, Segera Diuji Coba",0.0,0.0,Neutral
74,"Panggil Pejabat Kementerian, Darmin Gelar Rakor Karet",0.0,0.0,Neutral
75,"Flyover Kemayoran Renggang, Aman Dilewati Nggak Ya?",0.5,0.5,Positive
76,"Ke Jatim, Menteri PUPR Beberkan Program Rumah Jokowi Tembus 1 Juta",0.0,0.0,Neutral
77,"Galian Basemen RS Siloam Diuruk, Perizinan Proyek Harus Diulang",0.0,0.0,Neutral
78,Strategi Menteri Basuki Cegah Korupsi di Kementerian PUPR,0.0,0.0,Neutral
79,Skema Bangun Tol Tanpa Utang Sudah Dijalankan Pemerintah,0.0,0.0,Neutral
80,"Proyek Tol Trans Sumatera Terus Dikebut, Cek Progresnya di Sini",0.0,0.0,Neutral
81,Jokowi Resmikan 3 Rusun dan 1 Jembatan di Tulungagung,0.0,0.0,Neutral
82,KPK Periksa Anggota Komisi V Fathan Subchi,0.0,0.0,Neutral
83,Andi Taufan Tiro Kembali Diperiksa KPK,0.0,0.0,Neutral
84,Masa Penahanan Amran HI Mustary Diperpanjang,0.0,0.0,Neutral
85,Mendorong Peran Swasta dalam Pembangunan Infrastruktur Bidang PUPR,0.0,0.375,Neutral
86,Basuki Hadimuljono Resmikan Perpustakaan Kementerian PUPR,0.0,0.06666666666666667,Neutral
87,Jokowi akan Resmikan Rusunawa Asrama Mahasiswa di Tulungagung,0.0,0.0,Neutral
88,"Geledah Kantor Kementerian PUPR, KPK Sita Dokumen Proyek",0.0,0.0,Neutral
89,KPK Geledah Kantor Direktorat Air Minum Kementerian PUPR,0.0,0.0,Neutral
90,KPK Telusuri Dugaan Pejabat PUPR Terima Suap dari Proyek SPAM Lain,-0.1125,0.2375,Negative
91,KPK Sebut Ada Anggaran SPAM untuk Bencana yang Terkait Kasus Suap,0.0,0.4,Neutral
92,"Tol Dalam Kota Bandung Dibangun, Proyek 2 Flyover Terancam Gagal",-0.5,0.29999999999999993,Negative
93,Asyik! Tanggul Raksasa Pantai Jakarta akan Dilengkapi Ruang Publik,0.125,0.4222222222222222,Positive
94,"Urai Kemacetan, Simpang Jakal Sleman Bakal Dibangun Underpass",0.0,0.0,Neutral
95,"Tinjau Perbaikan Irigasi di Blitar, Jokowi: Agar Air Tak Hilang",0.0,0.0,Neutral
96,"BUMN Disebut Borong Proyek Tol, Rini Sebut Beli yang Mangkrak",0.0,0.0,Neutral
97,Kemen PUPR Paparkan Rencana Strategis Pembangunan Infrastruktur,0.0,0.0,Neutral
