,newstitle
0,"Soal Proyek Tol Yogya-Bawen, Kemenko Ekonomi: Tunggu Jateng Oke"
1,Akses dari Tol Trans Jawa ke Jalan Nasional Masih Kurang Memadai
2,Bendungan Mila Siap Alirkan Air ke 1.689 Ha Lahan di Dompu
3,Pejabat Kementerian PUPR Kena OTT KPK
4,"Bertemu Jokowi, Ridwan Kamil Ingin Situ Bagendit Jadi Destinasi Dunia"
5,Jokowi Tinjau Bantuan Rusun di Ponpes Ustaz Adi Hidayat Belajar
6,5 Objek Wisata Populer Jawa Tengah yang Tak Kalah dengan Malaysia
7,Apiknya Rusun di Pesantren Garut yang Dikunjungi Jokowi
9,Warga Padang Nikmati Program Hibah Air
10,Melihat Infrastruktur Jalan dan Jembatan di Pulau Terdepan RI
11,Bendungan Rotiklot di Perbatasan RI-Timor Leste Rampung
12,"Wajah Rumah Khusus di Papua, untuk Pemuka Adat hingga Eks OPM"
13,Patung Keris di Solo Dinilai Bisa Kaburkan Pemahaman Generasi Muda
14,"Kejar Sertifikat Kelaikan, Proyek Tol Wilangan-Kertosono Dikebut"
15,Kata Menhan soal Tingkat Kepatuhan LHKPN Kemhan Paling Rendah
16,3 Tersangka Korupsi Irigasi Cihara Banten Ditahan
17,"Marak Pungli Dana Gempa, Ahli Pidana: Hukuman Belum Maksimal"
18,KPK Cecar Irjen PUPR soal Pemeriksaan Internal Proyek SPAM
19,Kemen-PUPR Janjikan Palu Bersih dari Puing dalam 2 Minggu
20,Tim Mediasi Kemenkum HAM Periksa Maraton Sengketa Perda
21,KPK Periksa Inspektur Jenderal Kementerian PUPR Jadi Saksi Suap SPAM
22,"Usai Rapat Bencana, Jokowi Lanjut Bahas Kendaraan Listrik"
23,"Debit Air Menurun, Permukiman yang Hilang di Jatigede Muncul"
25,Mengintip Pembangunan Jembatan Pulau Balang di Kalimantan
26,Begini Perjuangan Bangun Jalan Perbatasan di Kalimantan
27,"RI bakal Punya 134 Jembatan Gantung, Tersebar di 20 Provinsi"
28,"Infrastruktur Anti Banjir Dibangun di Palembang, Ini Proyeknya"
