"url","Title","Title_link","Desc"
"https://www.thejakartapost.com/tag/infrastructure","No haj funds invested in infrastructure, official says","https://www.thejakartapost.com/news/2019/01/24/no-haj-funds-invested-in-infrastructure-official-says.html","Haj Fund Management Agency (BPKH) head Anggito Abimanyu denied on Thursday speculation that haj fund..."
"https://www.thejakartapost.com/tag/infrastructure","Angkasa Pura II wants to go global, eyes ASEAN airports","https://www.thejakartapost.com/news/2019/01/21/angkasa-pura-ii-wants-to-go-global-eyes-asean-airports.html","State-owned airport operator Angkasa Pura (AP) II is looking to go global this year by managing airp..."
"https://www.thejakartapost.com/tag/infrastructure","Trans-Java toll road to open at midnight but drivers may experience bottlenecks","https://www.thejakartapost.com/news/2019/01/20/trans-java-toll-road-to-open-at-midnight-but-drivers-may-experience-bottlenecks.html","The toll for the road between Jakarta and Surabaya is Rp 660,500 (US$46.41)."
"https://www.thejakartapost.com/tag/infrastructure","Tunnel through an Australian mountain? No problem, says Elon Musk","https://www.thejakartapost.com/news/2019/01/17/tunnel-through-an-australian-mountain-no-problem-says-elon-musk.html","Australia could become a test ground for another of Elon Musk's massive infrastructure projects&..."
"https://www.thejakartapost.com/tag/infrastructure","Game over for Jokowi's 7 percent growth target?","https://www.thejakartapost.com/academia/2019/01/10/game-over-for-jokowis-7-percent-growth-target.html","Crucially, the foundation to support high growth was missing even before Jokowi came to office. Two ..."
"https://www.thejakartapost.com/tag/infrastructure","World Bank clarifies report on Indonesian infrastructure","https://www.thejakartapost.com/news/2019/01/03/world-bank-clarifies-report-on-indonesian-infrastructure.html","Following the current public discussion of one of its reports about Indonesia's infrastructure p..."
"https://www.thejakartapost.com/tag/infrastructure","Outlook: Happy news for some sectors in 2019","https://www.thejakartapost.com/news/2019/01/01/outlook-happy-news-for-some-sectors-in-2019.html","The Jakarta Post takes a look at investment, infrastructure, energy, transportation, tourism and dig..."
"https://www.thejakartapost.com/tag/infrastructure","Not all bad in 2018: Indonesian economic review","https://www.thejakartapost.com/news/2018/12/26/not-all-bad-in-2018-indonesian-economic-review.html","Natural and man-made disasters overshadowed growth in tourism and the transportation sector."
"https://www.thejakartapost.com/tag/infrastructure","Open education can address Indonesia's educational inequalities","https://www.thejakartapost.com/academia/2018/12/22/open-education-can-address-indonesias-educational-inequalities.html","In Indonesia open education is in initial stages, marked by lack of supporting policy and infrastruc..."
"https://www.thejakartapost.com/tag/infrastructure","Government to shift focus from infrastructure to education in Papua","https://www.thejakartapost.com/news/2018/12/12/government-to-shift-focus-from-infrastructure-to-education-in-papua.html","Education will become another focus of the government’s development plans in Indonesia’s..."
"https://www.thejakartapost.com/tag/infrastructure/page/2","Government to shift focus from infrastructure to education in Papua","https://www.thejakartapost.com/news/2018/12/12/government-to-shift-focus-from-infrastructure-to-education-in-papua.html","Education will become another focus of the government’s development plans in Indonesia’s..."
"https://www.thejakartapost.com/tag/infrastructure/page/2","Wika secures deals worth trillions","https://www.thejakartapost.com/news/2018/12/10/wika-secures-deals-worth-trillions.html","State-owned contractor PT Wijaya Karya (Wika) has signed several deals worth Rp 34.2 trillion (US$2...."
"https://www.thejakartapost.com/tag/infrastructure/page/2","Environmentalists face greater risks amid development drive","https://www.thejakartapost.com/news/2018/12/09/environmentalists-face-greater-risks-amid-development-drive.html","Activists say development policies lack human rights and environmental perspectives."
"https://www.thejakartapost.com/tag/infrastructure/page/2","Salient points in Prabowo-Sandiaga’s plans for Fair and Prosperous Indonesia","https://www.thejakartapost.com/news/2018/12/04/salient-points-in-prabowo-sandiagas-plans-for-fair-and-prosperous-indonesia.html","Prabowo-Sandi has divided the platform into seven main parts: the economy, human development, food a..."
"https://www.thejakartapost.com/tag/infrastructure/page/2","Trans-Papua road project suspended amid worsening security","https://www.thejakartapost.com/news/2018/12/04/trans-papua-road-project-suspended-amid-worsening-security.html","Public Works and Housing Minister Basuki Hadimuljono told reporters on Tuesday the government w..."
"https://www.thejakartapost.com/tag/infrastructure/page/2","Toll road connecting Jakarta to Surabaya expected to be ready in December","https://www.thejakartapost.com/news/2018/11/29/toll-road-connecting-jakarta-to-surabaya-expected-to-be-ready-in-december.html","President Joko ""Jokowi"" Widodo is saying the 51-kilometer Sragen-Ngawi section of road wou..."
"https://www.thejakartapost.com/tag/infrastructure/page/2","Two infrastructure projects along Jakarta-Cikampek toll road postponed","https://www.thejakartapost.com/news/2018/11/21/two-infrastructure-projects-along-jakarta-cikampek-toll-road-postponed.html","The construction of Jakarta-Cikampek II elevated toll road, meanwhile, is still ongoing."
"https://www.thejakartapost.com/tag/infrastructure/page/2","Indonesia offers infrastructure projects to French investors","https://www.thejakartapost.com/news/2018/11/16/ri-offers-infrastructure-projects-to-french-investors.html","Head of the National Development Planning Board (Bappenas) Bambang Brodjonegoro said on Thursday the..."
"https://www.thejakartapost.com/tag/infrastructure/page/2","Don't use Village Fund to develop infrastructure: Jokowi","https://www.thejakartapost.com/news/2018/11/05/dont-use-village-fund-to-develop-infrastructure-jokowi.html","President Joko “Jokowi” Widodo has called on village heads not to use the Village Fund, ..."
"https://www.thejakartapost.com/tag/infrastructure/page/2","Jokowi urges local govt to tech-up","https://www.thejakartapost.com/news/2018/10/22/jokowi-urges-local-govt-to-tech-up.html","President Joko “Jokowi” Widodo said the government had distributed up to Rp 400 trillion..."
"https://www.thejakartapost.com/tag/infrastructure/page/3","Telkom to develop infrastructure in 2019","https://www.thejakartapost.com/news/2018/10/15/telkom-to-develop-infrastructure-in-2019.html","State-owned telecommunications company Telkom Indonesia is set to allocate half of its capital expen..."
"https://www.thejakartapost.com/tag/infrastructure/page/3","10 more strategic projects to be completed this year","https://www.thejakartapost.com/news/2018/10/10/10-more-strategic-projects-to-be-completed-this-year.html","The Committee for Accelerated Infrastructure Development (KPPIP) plans to complete 10 strategic proj..."
"https://www.thejakartapost.com/tag/infrastructure/page/3","PREMIUM
 Reshaping logistics, supply chain toward Logistics 4.0","https://www.thejakartapost.com/academia/2018/10/10/reshaping-logistics-supply-chain-toward-logistics-4-0.html","Like other industries, transportation and logistics are currently facing immense changes and like al..."
"https://www.thejakartapost.com/tag/infrastructure/page/3","CSOs gather, share development ideas","https://www.thejakartapost.com/news/2018/10/09/csos-gather-share-development-ideas.html","The numerous infrastructure projects carried out by President Joko “Jokowi” Widodo&rsquo..."
"https://www.thejakartapost.com/tag/infrastructure/page/3","Indonesia Pavilion offers development, investment, culture to IMF-WB delegates","https://www.thejakartapost.com/news/2018/10/08/indonesia-pavilion-offers-development-investment-culture-to-imf-wb-delegates.html","The State-Owned Enterprises (SOEs) Ministry on Monday welcomed participants of the Internationa..."
"https://www.thejakartapost.com/tag/infrastructure/page/3","Mandiri rolls out Rp 165t for infrastructure","https://www.thejakartapost.com/news/2018/10/08/mandiri-rolls-out-rp-165t-for-infrastructure.html","State-owned lender PT Bank Mandiri has given out Rp 165 trillion (US$10.9 million) this year for inf..."
"https://www.thejakartapost.com/tag/infrastructure/page/3","PREMIUM
 Supporting Indonesia’s SDGs","https://www.thejakartapost.com/academia/2018/10/05/supporting-indonesias-sdgs.html","The government is really making an effort to invest in the future by closing our infrastructure and ..."
"https://www.thejakartapost.com/tag/infrastructure/page/3","China's Belt and Road Initiative and Indonesia's financial security","https://www.thejakartapost.com/academia/2018/10/01/chinas-belt-and-road-initiative-and-indonesias-financial-security.html","Indonesia has been a reluctant participant in China’s Belt and Road Initiative ."
"https://www.thejakartapost.com/tag/infrastructure/page/3","The overlooked role of sanitation in development","https://www.thejakartapost.com/academia/2018/09/28/the-overlooked-role-of-sanitation-in-development.html","“In rural areas, where sanitation at schools is wanting, female students are more likely to be..."
"https://www.thejakartapost.com/tag/infrastructure/page/3","PREMIUM
 How to finance Asia's infrastructure gap","https://www.thejakartapost.com/academia/2018/09/25/how-to-finance-asias-infrastructure-gap.html","ADB report puts the infrastructure tab for 45 developing Asian countries at more than US$1.7 tr..."
"https://www.thejakartapost.com/tag/infrastructure/page/4","Preserving the legacy","https://www.thejakartapost.com/academia/2018/09/15/preserving-the-legacy.html","With the Asian Games over and the Asian Para Games soon to follow suit, what else can proud Jakartan..."
"https://www.thejakartapost.com/tag/infrastructure/page/4","Indonesia to assist Sri Lanka in infrastructure development","https://www.thejakartapost.com/news/2018/09/12/indonesia-to-assist-sri-lanka-in-infrastructure-development.html","Indonesia is set to assist Sri Lanka in infrastructure development, as the two countries look forwar..."
"https://www.thejakartapost.com/tag/infrastructure/page/4","Helping out quake victims one T-shirt at a time","https://www.thejakartapost.com/life/2018/09/12/helping-out-quake-victims-one-t-shirt-at-a-time.html","A true story tells of how T-shirts in the Netherlands can rebuild a broken school in Lombok, West Nu..."
"https://www.thejakartapost.com/tag/infrastructure/page/4","China's 'Silk Road' project runs into debt jam","https://www.thejakartapost.com/news/2018/09/02/chinas-silk-road-project-runs-into-debt-jam.html","Sri Lanka has already paid a heavy price for being highly indebted to China. Last year, the isl..."
"https://www.thejakartapost.com/tag/infrastructure/page/4","AIIB lends $692 million to Indonesian infrastructure","https://www.thejakartapost.com/news/2018/08/29/aiib-lends-692-million-to-indonesian-infrastructure.html","The Beijing-based Asian Infrastructure Investment Bank (AIIB), which started operations in January, ..."
"https://www.thejakartapost.com/tag/infrastructure/page/4","Remembering Sukarno's legacy in 2018 Asian Games","https://www.thejakartapost.com/travel/2018/08/28/remembering-sukarnos-legacy-in-2018-asian-games.html","Like Jokowi, Sukarno was criticized for his decision to host the Asian Games in Indonesia in 1962.&n..."
