,date,media,newstitle
0,"[<div class=""article__date"">18/01/2019, 23:00 WIB</div>]",Kompascom,"Cegah Banjir di Kota Bima, Normalisasi Sungai Dilanjutkan"
3,"[<div class=""article__date"">16/01/2019, 01:27 WIB</div>]",Kompascom,KPK Perpanjang Masa Penahanan 8 Tersangka Kasus SPAM PUPR
4,"[<div class=""article__date"">15/01/2019, 10:32 WIB</div>]",Kompascom,"2019, Pemerintah Bangun 28,80 Kilometer Jalan di Maluku Tenggara Barat"
5,"[<div class=""article__date"">13/01/2019, 10:23 WIB</div>]",Kompascom,"Periksa Irjen PUPR, KPK Telusuri Pemeriksaan Internal Terkait Proyek-proyek SPAM"
6,"[<div class=""article__date"">11/01/2019, 21:14 WIB</div>]",Kompascom,"Kasus SPAM PUPR, KPK Panggil Plt Sekjen Cipta Karya"
7,"[<div class=""article__date"">11/01/2019, 20:30 WIB</div>]",Kompascom,Sistem Penyediaan Air Minum Bandung Raya Siap Digunakan
8,"[<div class=""article__date"">11/01/2019, 18:00 WIB</div>]",Kompascom,"Atasi Kemacetan, Depok Ajukan Dana Hibah Rp 6,5 M ke Pemprov DKI"
9,"[<div class=""article__date"">11/01/2019, 17:03 WIB</div>]",Kompascom,4 Bendungan Mulai Diisi Air Bulan Depan
10,"[<div class=""article__date"">11/01/2019, 13:02 WIB</div>]",Kompascom,"Pekan Depan, Keluar Tarif 7 Ruas Tol Baru Trans-Jawa "
11,"[<div class=""article__date"">11/01/2019, 12:18 WIB</div>]",Kompascom,Target Sejuta Rumah Tahun Ini 635.361 Unit
12,"[<div class=""article__date"">11/01/2019, 10:33 WIB</div>]",Kompascom,"Gunakan Dana SBSN Rp 553,57 Miliar, Jembatan Musi IV Sudah Dibuka"
13,"[<div class=""article__date"">10/01/2019, 20:11 WIB</div>]",Kompascom,Jembatan Leta Oar Ralan Siap Berfungsi
14,"[<div class=""article__date"">10/01/2019, 11:00 WIB</div>]",Kompascom,"Kasus Proyek Air Minum PUPR, KPK Panggil 2 Pejabat Ditjen Cipta Karya"
15,"[<div class=""article__date"">03/01/2019, 13:34 WIB</div>]",Kompascom,Kementerian PUPR Batal Bangun Rusun Pasar Minggu
16,"[<div class=""article__date"">02/01/2019, 20:59 WIB</div>]",Kompascom,"Dinilai Lebih Berkualitas, Penggunaan Aspal Karet Berlanjut Tahun Ini"
17,"[<div class=""article__date"">02/01/2019, 17:30 WIB</div>]",Kompascom,Perubahan Nomenklatur Ditjen Pembiayaan Perumahan Sudah Tepat
18,"[<div class=""article__date"">02/01/2019, 07:13 WIB</div>]",Kompascom,Politeknik Pekerjaan Umum Siap Dibuka 2019
19,"[<div class=""article__date"">01/01/2019, 16:05 WIB</div>]",Kompascom,"Perubahan Nomenklatur, Ditjen Pembiayaan Infrastruktur Resmi Dibentuk"
20,"[<div class=""article__date"">01/01/2019, 12:43 WIB</div>]",Kompascom,"Kaleidoskop 2018: Pecah Telor, Program Sejuta Rumah Tembus Target"
21,"[<div class=""article__date"">31/12/2018, 18:08 WIB</div>]",Kompascom,Sandiaga Uno: Kok Bisa-bisanya Proyek di Lokasi Bencana Dikorupsi
22,"[<div class=""article__date"">31/12/2018, 12:22 WIB</div>]",Kompascom,Kaleidoskop 2018: Suap di Tubuh Kementerian PUPR
23,"[<div class=""article__date"">31/12/2018, 10:23 WIB</div>]",Kompascom,"Kasus Dugaan Suap Proyek Air Minum, KPK Geledah Dua Lokasi"
24,"[<div class=""article__date"">31/12/2018, 06:34 WIB</div>]",Kompascom,Kementerian PUPR Copot Pejabat yang Dicokok KPK
25,"[<div class=""article__date"">31/12/2018, 06:11 WIB</div>]",Kompascom,Kementerian PUPR Akan Memutus Kontrak Penyuap Proyek SPAM
26,"[<div class=""article__date"">30/12/2018, 22:23 WIB</div>]",Kompascom,"Dugaan Suap Proyek Air Minum Kementerian PUPR, KPK Sita Sebuah Mobil"
27,"[<div class=""article__date"">30/12/2018, 13:52 WIB</div>]",Kompascom,5 Fakta Terkait Kasus Dugaan Suap Proyek Air Minum Kementerian PUPR
28,"[<div class=""article__date"">30/12/2018, 10:47 WIB</div>]",Kompascom,"Pegawainya Tersangka Suap, Kementerian PUPR Tak Akan Intervensi KPK"
29,"[<div class=""article__date"">30/12/2018, 09:28 WIB</div>]",Kompascom,KPK Tahan 8 Tersangka Dugaan Suap Proyek SPAM Kementerian PUPR
30,"[<div class=""article__date"">29/12/2018, 07:16 WIB</div>]",Kompascom,"Dugaan Suap di PUPR Terkait Proyek di Daerah Bencana, KPK Pelajari Penerapan Hukuman Mati"
31,"[<div class=""article__date"">29/12/2018, 06:23 WIB</div>]",Kompascom,Ini Kronologi OTT Pejabat Kementerian PUPR 
32,"[<div class=""article__date"">29/12/2018, 06:11 WIB</div>]",Kompascom,"Sabtu Siang, Pihak Kementerian PUPR Akan Sambangi KPK terkait OTT Pejabatnya"
33,"[<div class=""article__date"">28/12/2018, 23:34 WIB</div>]",Kompascom,KPK Sesalkan Dugaan Suap Pejabat Kementerian PUPR Terkait Proyek Air Minum
34,"[<div class=""article__date"">28/12/2018, 23:13 WIB</div>]",Kompascom,"OTT Pejabat Kementerian PUPR, KPK Duga Ada Suap Sebelumnya Terkait Proyek Air Minum"
35,"[<div class=""article__date"">28/12/2018, 23:08 WIB</div>]",Kompascom,"Bawahannya Terjaring OTT KPK, Basuki Mengaku Kaget dan Sedih"
36,"[<div class=""article__date"">28/12/2018, 23:00 WIB</div>]",Kompascom,OTT Pejabat Kementerian PUPR Diduga Terkait Proyek Penyediaan Air Minum
37,"[<div class=""article__date"">28/12/2018, 22:57 WIB</div>]",Kompascom,20 Orang Diamankan dalam OTT Kementerian PUPR
38,"[<div class=""article__date"">28/12/2018, 18:33 WIB</div>]",Kompascom,"OTT Pejabat Kementerian PUPR, KPK Amankan Uang Rp 500 Juta dan 25.000 Dollar Singapura"
39,"[<div class=""article__date"">27/12/2018, 17:00 WIB</div>]",Kompascom,"Gelar OTT, KPK Tangkap Pejabat Kementerian PUPR"
40,"[<div class=""article__date"">27/12/2018, 13:46 WIB</div>]",Kompascom,Kementerian PUPR Bangun Rumah Khusus Korban Bencana Gempa dan Tsunami
41,"[<div class=""article__date"">27/12/2018, 12:54 WIB</div>]",Kompascom,Menristekdikti Usul Semua Balai Kementerian PUPR Dijadikan Politeknik
42,"[<div class=""article__date"">27/12/2018, 12:49 WIB</div>]",Kompascom,"Basuki Tegaskan ""Flyover"" Cengkareng Tidak Rusak"
43,"[<div class=""article__date"">27/12/2018, 11:55 WIB</div>]",Kompascom,"Ambrolnya Lereng Tol Salatiga-Kartasura, Basuki Anggap Masalah Kecil"
44,"[<div class=""article__date"">23/12/2018, 17:49 WIB</div>]",Kompascom,Kementerian PUPR Kantongi Izin Prinsip Bangun Politeknik
45,"[<div class=""article__date"">19/12/2018, 15:40 WIB</div>]",Kompascom,"""Flyover"" Cengkareng Sudah Retak Sejak Awal Tahun 2018"
46,"[<div class=""article__date"">19/12/2018, 10:11 WIB</div>]",Kompascom,Kementerian PUPR Terjunkan Alat Berat untuk Banten dan Lampung
47,"[<div class=""article__date"">16/12/2018, 21:09 WIB</div>]",Kompascom,"Jalan Raya Gubeng Surabaya Ambles, Ini Kata Menteri PUPR"
48,"[<div class=""article__date"">16/12/2018, 20:34 WIB</div>]",Kompascom,"Kasus Wali Kota Pasuruan, KPK Panggil Kepala Dinas PUPR"
49,"[<div class=""article__date"">14/12/2018, 10:36 WIB</div>]",Kompascom,"Kawasan Seutui di Banda Aceh Tertata, Ekonomi Pun Meningkat"
50,"[<div class=""article__date"">13/12/2018, 22:07 WIB</div>]",Kompascom,"Selesai Dibangun, Bendungan Rotiklot di NTT Mulai Diisi Air"
51,"[<div class=""article__date"">13/12/2018, 07:00 WIB</div>]",Kompascom,"Kasus Wali Kota Pasuruan, KPK Panggil Dua Pejabat Dinas PUPR"
52,"[<div class=""article__date"">12/12/2018, 23:45 WIB</div>]",Kompascom,Kementerian PUPR Percepat Lelang
53,"[<div class=""article__date"">12/12/2018, 21:11 WIB</div>]",Kompascom,"Konstruksi SPAM Semarang Barat Telan Biaya Rp 1,15 Triliun"
54,"[<div class=""article__date"">11/12/2018, 14:22 WIB</div>]",Kompascom,"Akses Padang-Bukittingi Rusak, Pemerintah Bangun Jembatan Sementara"
55,"[<div class=""article__date"">10/12/2018, 15:58 WIB</div>]",Kompascom,"17 Desember, 120 Unit Huntara di Sulawesi Tengah Siap Dihuni"
56,"[<div class=""article__date"">10/12/2018, 14:46 WIB</div>]",Kompascom,Kementerian PUPR Rencanakan NCICD untuk Tanggulangi Banjir Rob Jakarta
57,"[<div class=""article__date"">07/12/2018, 23:35 WIB</div>]",Kompascom,"Menteri PUPR Dorong Millenial Segera Punya Rumah, Mengapa?"
58,"[<div class=""article__date"">07/12/2018, 23:20 WIB</div>]",Kompascom,"2019, Menteri PUPR Siapkan KPR bagi Milenial Tanpa Batasan Penghasilan"
59,"[<div class=""article__date"">07/12/2018, 15:39 WIB</div>]",Kompascom,Ini Daftar Pemenang Penghargaan PUPR 2018
60,"[<div class=""article__date"">05/12/2018, 17:24 WIB</div>]",Kompascom,Kementerian PUPR Apresiasi Pemda Berprestasi di Bidang Infrastruktur
61,"[<div class=""article__date"">05/12/2018, 12:00 WIB</div>]",Kompascom,Rumah MBR yang Dibangun Pengembang Lebih Banyak Dibanding Pemerintah
62,"[<div class=""article__date"">05/12/2018, 11:18 WIB</div>]",Kompascom,Proyek Jembatan di Nduga Papua yang Dihentikan Itu Sudah 72 Persen
63,"[<div class=""article__date"">05/12/2018, 10:04 WIB</div>]",Kompascom,Menteri PUPR Kukuhkan Pengurus ATI Baru
64,"[<div class=""article__date"">04/12/2018, 19:30 WIB</div>]",Kompascom,"Kasus Meikarta, KPK Periksa Kadis PUPR Kabupaten Bekasi "
65,"[<div class=""article__date"">04/12/2018, 12:46 WIB</div>]",Kompascom,Wajib Baca: Penangguhan Proyek Papua dan Sistem Kereta Jepang
