,newsdesc,newstitle,titledesc
0,Kementerian PUPR masih menunggu Kementerian Keuangan untuk dongkrak harga rumah subsidi.,"Harga Rumah Subsidi Bakal Naik hingga 7,75 Persen","Kementerian PUPR masih menunggu Kementerian Keuangan untuk dongkrak harga rumah subsidi. Harga Rumah Subsidi Bakal Naik hingga 7,75 Persen"
1,"Mulai 21 Januari 2019 hingga dua bulan ke depan, tarif Tol Trans Jawa juga akan diberlakukan diskon 15 persen.","Diskon 15 Persen, Tarif Tol Trans Jawa Jakarta-Pasuruan Cuma Rp 624.500","Mulai 21 Januari 2019 hingga dua bulan ke depan, tarif Tol Trans Jawa juga akan diberlakukan diskon 15 persen. Diskon 15 Persen, Tarif Tol Trans Jawa Jakarta-Pasuruan Cuma Rp 624.500"
2,Menteri Basuki menyaksikan masih banyak sampah yang masuk ke badan sungai dan menumpuk di Bendung Copong.,Menteri Basuki Minta Warga Tak Buang Sampah di Sungai dan Bendungan,Menteri Basuki menyaksikan masih banyak sampah yang masuk ke badan sungai dan menumpuk di Bendung Copong. Menteri Basuki Minta Warga Tak Buang Sampah di Sungai dan Bendungan
3,Kehadiran Bendungan Mila akan melengkapi Bendungan Tanju yang merupakan bagian dari Sistem Irigasi Rababaka Komplek.,"Mulai Penggenangan, Bendungan Mila Pasok Air ke 1.689 Ha Lahan Irigasi di Dompu","Kehadiran Bendungan Mila akan melengkapi Bendungan Tanju yang merupakan bagian dari Sistem Irigasi Rababaka Komplek. Mulai Penggenangan, Bendungan Mila Pasok Air ke 1.689 Ha Lahan Irigasi di Dompu"
4,"Pada tahun 2019, Kementerian PUPR kembali melanjutkan Program Hibah Air Minum Perkotaan dan Perdesaan dengan anggaran sebesar Rp 850 miliar.",17.500 Rumah MBR di Padang Nikmati Program Hibah Air Minum,"Pada tahun 2019, Kementerian PUPR kembali melanjutkan Program Hibah Air Minum Perkotaan dan Perdesaan dengan anggaran sebesar Rp 850 miliar. 17.500 Rumah MBR di Padang Nikmati Program Hibah Air Minum"
5,Pembangunan infrastruktur di pulau-pulau terdepan Indonesia dilakukan Kementerian PUPR melalui pendekatan kewilayahan melalui Wilayah Pengembangan Strategis (WPS) 35.,Pembangunan Jalan dan Jembatan Tumbuhkan Sentra Ekonomi Baru di Pulau Terluar,Pembangunan infrastruktur di pulau-pulau terdepan Indonesia dilakukan Kementerian PUPR melalui pendekatan kewilayahan melalui Wilayah Pengembangan Strategis (WPS) 35. Pembangunan Jalan dan Jembatan Tumbuhkan Sentra Ekonomi Baru di Pulau Terluar
6,Diharapkan dalam Triwulan I 2019 jalan tol Medan-Kualanamu-Tebing Tinggi Seksi 7 (Sei Rampah-Tebing Tinggi) dapat beroperasi penuh.,Tol Medan-Kualanamu-Tebing Tinggi Seksi 7 Siap Beroperasi Penuh,Diharapkan dalam Triwulan I 2019 jalan tol Medan-Kualanamu-Tebing Tinggi Seksi 7 (Sei Rampah-Tebing Tinggi) dapat beroperasi penuh. Tol Medan-Kualanamu-Tebing Tinggi Seksi 7 Siap Beroperasi Penuh
7,Kementerian PUPR menyiapkan sejumlah langkah sebagai bentuk antisipasi dan kesiapan hadapi bencana.,Kementerian PUPR Imbau Pemda Optimalkan Tempat Evakuasi Sementara,Kementerian PUPR menyiapkan sejumlah langkah sebagai bentuk antisipasi dan kesiapan hadapi bencana. Kementerian PUPR Imbau Pemda Optimalkan Tempat Evakuasi Sementara
8,"Selain Widiarto, satu saksi lain juga dipanggil untuk tersangka Lily Sundarsih (LSU).",KPK Periksa 2 Saksi Terkait Kasus Suap Proyek Air Kementerian PUPR,"Selain Widiarto, satu saksi lain juga dipanggil untuk tersangka Lily Sundarsih (LSU). KPK Periksa 2 Saksi Terkait Kasus Suap Proyek Air Kementerian PUPR"
9,Kementerian PUPR terus membangun jalan Trans Papua untuk meningkatkan konektivitas.,Kementerian PUPR Rampungkan Ruas Jalan Jayapura-Wamena,Kementerian PUPR terus membangun jalan Trans Papua untuk meningkatkan konektivitas. Kementerian PUPR Rampungkan Ruas Jalan Jayapura-Wamena
10,Kementerian PUPR dan Pemprov Jawa Barat telah menyelesaikan pembangunan SPAM Regional Metropolitan Bandung Raya.,SPAM Bandung Raya Suplai Air Bersih buat 140 Ribu Warga,Kementerian PUPR dan Pemprov Jawa Barat telah menyelesaikan pembangunan SPAM Regional Metropolitan Bandung Raya. SPAM Bandung Raya Suplai Air Bersih buat 140 Ribu Warga
11,Kementerian PUPR telah menyelesaikan pembangunan Jembatan Musi 4.,"Dibangun Pakai Dana SBSN, Jembatan Musi 4 Kini Bisa Dilalui Warga","Kementerian PUPR telah menyelesaikan pembangunan Jembatan Musi 4. Dibangun Pakai Dana SBSN, Jembatan Musi 4 Kini Bisa Dilalui Warga"
12,Jembatan Leta Oar Ralan ini menghubungkan Pulau Yamdena dan Pulau Larat di Kabupaten Maluku Tenggara Barat.,Jembatan Penghubung 2 Pulau Terdepan di Maluku Resmi Beroperasi,Jembatan Leta Oar Ralan ini menghubungkan Pulau Yamdena dan Pulau Larat di Kabupaten Maluku Tenggara Barat. Jembatan Penghubung 2 Pulau Terdepan di Maluku Resmi Beroperasi
13,Ton aspal karet makin digencarkan Kementerian PUPR di 2019.,Kementerian PUPR Target Serap 2.542 Ton Aspal Karet di 2019,Ton aspal karet makin digencarkan Kementerian PUPR di 2019. Kementerian PUPR Target Serap 2.542 Ton Aspal Karet di 2019
14,Menteri PUPR Basuki Hadimuljono mengajak Menkeu Sri Mulyani resmikan proyek di Ambon untuk laporkan hasil pembangunan infrastruktur yang berasal dari SBSN.,Menteri PUPR dan Sri Mulyani Resmikan Dua Proyek di Ambon,Menteri PUPR Basuki Hadimuljono mengajak Menkeu Sri Mulyani resmikan proyek di Ambon untuk laporkan hasil pembangunan infrastruktur yang berasal dari SBSN. Menteri PUPR dan Sri Mulyani Resmikan Dua Proyek di Ambon
15,Keberadaan jalan ini diklaim dapat memanjakan wisatawan dengan suguhan pemandangan indah Sudera Hindia lantaran sebagian besar ruas jalan berada di tepi laut.,Jalan Akses menuju Kawasan Wisata Mandeh di Sumatera Barat Rampung,Keberadaan jalan ini diklaim dapat memanjakan wisatawan dengan suguhan pemandangan indah Sudera Hindia lantaran sebagian besar ruas jalan berada di tepi laut. Jalan Akses menuju Kawasan Wisata Mandeh di Sumatera Barat Rampung
16,"Secara keseluruhan, dari 2015 sampai dengan 2018 total telah terbangun sebanyak 3.542.318 unit rumah.","Pertama Kali, Program Satu Juta Rumah Lampaui Target","Secara keseluruhan, dari 2015 sampai dengan 2018 total telah terbangun sebanyak 3.542.318 unit rumah. Pertama Kali, Program Satu Juta Rumah Lampaui Target"
