"url","Image","Image_alt","Image_link","Description 2","Description 2_link","Det News Date"
"https://www.merdeka.com/tag/kementerian-pupr/","https://cdns.klimg.com/merdeka.com/i/w/news/2019/01/24/1043317/250x125/menteri-pupr-tunggu-gubernur-sulawesi-tengah-beri-peta-zona-rawan-bencana-palu.jpg","Menteri PUPR Tunggu Gubernur Sulawesi Tengah Beri Peta Zona Rawan Bencana Palu","https://www.merdeka.com/peristiwa/menteri-pupr-tunggu-gubernur-sulawesi-tengah-beri-peta-zona-rawan-bencana-palu.html","Menteri PUPR Tunggu Gubernur Sulawesi Tengah Beri Peta Zona Rawan Bencana Palu","https://www.merdeka.com/peristiwa/menteri-pupr-tunggu-gubernur-sulawesi-tengah-beri-peta-zona-rawan-bencana-palu.html","Sekitar 4 Jam yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/","https://cdns.klimg.com/merdeka.com/i/w/news/2019/01/23/1042903/140x70/menteri-basuki-belum-terima-laporan-kerusakan-infrastruktur-akibat-banjir-di-sulsel.jpg","Menteri Basuki Belum Terima Laporan Kerusakan Infrastruktur Akibat Banjir di Sulsel","https://www.merdeka.com/uang/menteri-basuki-belum-terima-laporan-kerusakan-infrastruktur-akibat-banjir-di-sulsel.html","Menteri Basuki Belum Terima Laporan Kerusakan Infrastruktur Akibat Banjir di Sulsel","https://www.merdeka.com/uang/menteri-basuki-belum-terima-laporan-kerusakan-infrastruktur-akibat-banjir-di-sulsel.html","Sekitar 1 Hari yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/","https://cdns.klimg.com/merdeka.com/i/w/news/2019/01/22/1042530/140x70/wapres-jk-minta-menteri-pupr-buat-standarisasi-perumahan.jpeg","Wapres JK Minta Menteri PUPR Buat Standarisasi Perumahan","https://www.merdeka.com/uang/wapres-jk-minta-menteri-pupr-buat-standarisasi-perumahan.html","Wapres JK Minta Menteri PUPR Buat Standarisasi Perumahan","https://www.merdeka.com/uang/wapres-jk-minta-menteri-pupr-buat-standarisasi-perumahan.html","Sekitar 2 Hari yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/","https://cdns.klimg.com/merdeka.com/i/w/news/2019/01/21/1041981/140x70/suap-proyek-di-kementerian-pupr-kpk-periksa-mantan-dirjen-cipta-karya.jpg","Suap Proyek di Kementerian PUPR, KPK Periksa Mantan Dirjen Cipta Karya","https://www.merdeka.com/peristiwa/suap-proyek-di-kementerian-pupr-kpk-periksa-mantan-dirjen-cipta-karya.html","Suap Proyek di Kementerian PUPR, KPK Periksa Mantan Dirjen Cipta Karya","https://www.merdeka.com/peristiwa/suap-proyek-di-kementerian-pupr-kpk-periksa-mantan-dirjen-cipta-karya.html","Sekitar 3 Hari yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/","https://cdns.klimg.com/merdeka.com/i/w/news/2019/01/19/1041466/140x70/cegah-banjir-kementerian-pupr-normalisasi-sungai-di-bima.jpg","Cegah Banjir, Kementerian PUPR Normalisasi Sungai di Bima","https://www.merdeka.com/uang/cegah-banjir-kementerian-pupr-normalisasi-sungai-di-bima.html","Cegah Banjir, Kementerian PUPR Normalisasi Sungai di Bima","https://www.merdeka.com/uang/cegah-banjir-kementerian-pupr-normalisasi-sungai-di-bima.html","Sekitar 5 Hari yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/","https://cdns.klimg.com/merdeka.com/i/w/news/2019/01/15/1039848/140x70/kpk-periksa-2-saksi-terkait-kasus-suap-proyek-air-kementerian-pupr.jpg","KPK Periksa 2 Saksi Terkait Kasus Suap Proyek Air Kementerian PUPR","https://www.merdeka.com/peristiwa/kpk-periksa-2-saksi-terkait-kasus-suap-proyek-air-kementerian-pupr.html","KPK Periksa 2 Saksi Terkait Kasus Suap Proyek Air Kementerian PUPR","https://www.merdeka.com/peristiwa/kpk-periksa-2-saksi-terkait-kasus-suap-proyek-air-kementerian-pupr.html","Sekitar 1 Minggu yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/","https://cdns.klimg.com/merdeka.com/i/w/news/2019/01/15/1039843/140x70/hadapi-potensi-bencana-tsunami-pupr-dorong-pembangunan-tempa-evakuasi-sementara.jpg","Hadapi Potensi Bencana Tsunami, PUPR Dorong Pembangunan Tempat Evakuasi Sementara","https://www.merdeka.com/uang/hadapi-potensi-bencana-tsunami-pupr-dorong-pembangunan-tempa-evakuasi-sementara.html","Hadapi Potensi Bencana Tsunami, PUPR Dorong Pembangunan Tempat Evakuasi Sementara","https://www.merdeka.com/uang/hadapi-potensi-bencana-tsunami-pupr-dorong-pembangunan-tempa-evakuasi-sementara.html","Sekitar 1 Minggu yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/","https://cdns.klimg.com/merdeka.com/i/w/news/2019/01/09/1037276/140x70/pertama-kali-program-satu-juta-rumah-capai-target-di-2018.jpeg","Pertama Kali, Program Satu Juta Rumah Capai Target di 2018","https://www.merdeka.com/uang/pertama-kali-program-satu-juta-rumah-capai-target-di-2018.html","Pertama Kali, Program Satu Juta Rumah Capai Target di 2018","https://www.merdeka.com/uang/pertama-kali-program-satu-juta-rumah-capai-target-di-2018.html","Sekitar 2 Minggu yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/","https://cdns.klimg.com/merdeka.com/i/w/news/2019/01/08/1037043/140x70/kpk-periksa-kepala-satuan-kerja-spam-terkait-suap.jpg","KPK Periksa Kepala Satuan Kerja SPAM Terkait Suap","https://www.merdeka.com/foto/peristiwa/kpk-periksa-kepala-satuan-kerja-spam-terkait-suap.html","KPK Periksa Kepala Satuan Kerja SPAM Terkait Suap","https://www.merdeka.com/foto/peristiwa/kpk-periksa-kepala-satuan-kerja-spam-terkait-suap.html","Sekitar 2 Minggu yang lalu"
"https://www.merdeka.com/tag/kementerian-pupr/","https://cdns.klimg.com/merdeka.com/i/w/news/2019/01/03/1036084/140x70/menteri-basuki-tol-trans-jawa-dukung-peningkatan-daya-saing-global.jpg","Menteri Basuki: Tol Trans Jawa Dukung Peningkatan Daya Saing Global","https://www.merdeka.com/uang/menteri-basuki-tol-trans-jawa-dukung-peningkatan-daya-saing-global.html","Menteri Basuki: Tol Trans Jawa Dukung Peningkatan Daya Saing Global","https://www.merdeka.com/uang/menteri-basuki-tol-trans-jawa-dukung-peningkatan-daya-saing-global.html","Sekitar 3 Minggu yang lalu"
