,sentence,sentiment,polarity,Sentiment_Type
0,Menteri PUPR Tunggu Gubernur Sulawesi Tengah Beri Peta Zona Rawan Bencana Palu,0.0,0.25,Neutral
1,Menteri Basuki Belum Terima Laporan Kerusakan Infrastruktur Akibat Banjir di Sulsel,-0.125,0.375,Negative
2,Wapres JK Minta Menteri PUPR Buat Standarisasi Perumahan,0.0,0.0,Neutral
3,"Suap Proyek di Kementerian PUPR, KPK Periksa Mantan Dirjen Cipta Karya",0.02500000000000001,0.25,Positive
4,"Cegah Banjir, Kementerian PUPR Normalisasi Sungai di Bima",0.0,0.0,Neutral
5,KPK Periksa 2 Saksi Terkait Kasus Suap Proyek Air Kementerian PUPR,0.0,0.0,Neutral
6,"Hadapi Potensi Bencana Tsunami, PUPR Dorong Pembangunan Tempat Evakuasi Sementara",0.0,1.0,Neutral
7,"Pertama Kali, Program Satu Juta Rumah Capai Target di 2018",0.25,0.3333333333333333,Positive
8,KPK Periksa Kepala Satuan Kerja SPAM Terkait Suap,0.0,0.0,Neutral
9,Menteri Basuki: Tol Trans Jawa Dukung Peningkatan Daya Saing Global,0.0,0.0,Neutral
10,Jokowi: Pemerintah Rehabilitasi 3 Juta Hektare Irigasi Primer,0.4,0.5,Positive
11,Kementerian PUPR Ganti Pejabat yang Kena OTT KPK Terkait Kasus Suap,0.0,0.4,Neutral
12,"2019, Infrastruktur Kerakyatan Tetap Jadi Prioritas Pemerintah",0.0,0.0,Neutral
13,Ini Jumlah Uang Sitaan KPK Hasil OTT Pejabat Kementerian PUPR,0.0,0.0,Neutral
14,Menteri PUPR Sebut Kantor Digeledah KPK Satker SPAM di Pejompongan,0.0,0.0,Neutral
15,Menteri Basuki Duga OTT Kementerian PUPR Buntut Lelang Proyek Penyediaan Air Minum,-0.1,0.1,Negative
16,KPK Duga Suap Proyek Air Daerah Bencana di Kementerian PUPR Bukan Pertama Kali,0.075,0.21666666666666667,Positive
17,"Anak Buah Kena OTT, Menteri PUPR Tunggu Penjelasan KPK",0.0,0.0,Neutral
18,Irjen Kementerian PUPR Datangi KPK Konfirmasi OTT Sejumlah Pejabat,0.05000000000000002,0.5,Positive
19,"OTT Kementerian PUPR, KPK Sita Rp 500 Juta, SGD 25 Ribu & Sekardus Uang",-0.2,0.1,Negative
20,OTT Kementerian PUPR Terkait Proyek Penyediaan Air Minum Untuk Bencana?,0.0,0.4,Neutral
21,OTT Pejabat Kementerian PUPR Diduga Terkait Proyek Penyediaan Air Minum,0.0,0.23333333333333334,Neutral
22,"OTT Pejabat Kementerian PUPR, KPK Tangkap 20 Orang",0.0,0.0,Neutral
23,"OTT Pejabat Kementerian PUPR, KPK Amankan 4 Orang dan Sita Dolar Singapura",0.0,0.0,Neutral
24,KPK Dikabarkan Tangkap Pejabat Kementerian PUPR,0.0,0.0,Neutral
25,PUPR: Ada Sekitar 600 Rumah di Banten dan Lampung yang Harus Diperbaiki,0.0,0.0,Neutral
26,"Flyover Cengkareng Bukan Retak, Pemerintah Bilang Sedang Proses Pemeliharaan",0.0,0.0,Neutral
27,"Kabar Jalan Tol Salatiga-Kartasura Ambrol Hoaks, Ini Faktanya",0.0,0.0,Neutral
28,"Cetak Tenaga Kerja Terampil, Kementerian PU-PR Bareng Undip Dirikan Politeknik",0.25,0.2833333333333333,Positive
29,PUPR Distribusikan 4.000 Liter Air Bersih ke Pengungsian Tsunami Banten,0.3666666666666667,0.7000000000000001,Positive
30,"Pengadaan Tanah 2 Bendungan Pengendali Banjir Jakarta Capai Rp 1,45 T",0.0,0.0,Neutral
31,Pembebasan Lahan 2 Bendungan Penahan Banjir Jakarta Terkendala Vila,0.0,0.0,Neutral
32,Pemerintah Akan Bangun Rumah Korban Tsunami Lampung,0.0,0.0,Neutral
33,Gerak Cepat Pemerintah Tangani Tsunami Banten,0.3333333333333333,0.5,Positive
34,Menteri Basuki soal Tsunami Selat Sunda: Tidak Banyak Infrastruktur Terdampak,-0.1,0.2,Negative
35,Kementerian PUPR Resmi Tunjuk 25 Bank Penyalur Kredit FLPP di 2019,0.0,0.0,Neutral
36,"Tanggap Darurat Tsunami Selat Sunda, Kementerian PUPR Kerahkan Alat Berat",-0.06666666666666667,0.2111111111111111,Negative
37,Menteri PUPR Targetkan Pendataan Bangunan Rusak Akibat Tsunami Banten Selesai 5 Hari,0.0,0.0,Neutral
38,Menteri PUPR Tinjau Lokasi Tsunami Banten,0.0,0.0,Neutral
39,PUPR Resmi Gandeng 25 Bank Penyalur KPR Subsidi,0.0,0.0,Neutral
40,Skema KPR untuk Golongan Milenial Ditarget Terbit Awal 2019,0.1,0.3,Positive
41,"Perluas Skema FLPP, Menteri Basuki Ingin Milenial Bisa Punya Rumah",0.2,0.1,Positive
42,PUPR Gandeng 25 Bank Salurkan Dana FLPP di 2019,0.0,0.0,Neutral
43,"Kementerian PUPR Dapat Pembiayaan Lewat SBSN Rp 12,7 Triliun di 2018",0.0,0.0,Neutral
44,Pramono Anung Tiduran di Jembatan Kalikuto Rayakan Rampungnya Trans Jawa,0.0,0.0,Neutral
45,Menteri PUPR Terjunkan Tim Selidik Sebab Jalan Gubeng Ambles,0.0,0.06666666666666667,Neutral
46,Menteri Basuki Terima Penghargaan HB IX Award dari UGM,0.0,0.0,Neutral
