Title;Description;Sentiment
PUPR Targetkan 699 Huntara di Sulteng Rampung Akhir Februari 2019;Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) terus menyelesaikan pembangunan hunian sementara (huntara).;1
Pentingnya IPAL, Menteri Basuki Akui Masih Terjadi Praktik BAB Sembarangan;Kementerian PUPR membangun dua Instalasi Pengolahan Air Limbah (IPAL);1
PUPR Kebagian Duit Sukuk Negara Rp12,7 Triliun, Begini Komentar Menteri Basuki;;-1
Pasca-Ambruk, Pembangunan Jembatan Batang Kalu Dimulai Januari 2019;Pemulihan ruas Jalan Padang-Bukit Tinggi yang terputus akibat ambruknya Jembatan Batang Kula dilakukan secara 3 tahap.;1
8 Bendungan Ini Ditargetkan Selesai Akhir 2018;Basuki Hadimuljono memastikan bahwa ada delapan bendungan di Indonesia yang akan diselesaikan pada tahun 2018 ini.;1
PUPR Dorong Kontraktor Indonesia Ekspor Jasa Konstruksi;Kementerian PUPR terus mendorong kontraktor dan kosultan Indonesia untuk meningkatkan kompetensi dan kualitas;1
Penerimaan CPNS 2018, Kementerian PUPR 'Panggil' 100 Lulusan Terbaik;Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) mengumumkan perekrutan 1.000 formasi Calon Pegawai Negeri Sipil (CPNS).;1
CPNS 2018, Kementerian PUPR Siapkan Formasi Khusus Tenaga Ahli Konstruksi;Kementerian PUPR akan membuka sekitar 1.000 formasi pada Seleksi Calon Pegawai Negeri Sipil (CPNS);1
Buka 1.000 Formasi CPNS 2018, Kementerian PUPR Prioritaskan Tenaga Teknis;Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) membuka sekitar 1.000 formasi untuk Pendaftaraan CPNS 2018.;1
134 Jembatan Gantung Bakal Berdiri Kokoh Tahun Ini;Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) melanjutkan pembangunan jembatan gantung sebanyak 134 jembatan gantung.;1
26 Proyek Strategis Nasional Ditargetkan Rampung Akhir 2018;Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) menargetkan 26 Proyek Strategis Nasional (PSN) selesai tahun ini.;1
Bangun Rumah Tahan Gempa, Menteri PUPR Lepas 400 Insinyur Muda ke Lombok;Menteri PUPR Basuki Hadimuljono melepas insinyur muda yang merupakan Calon Pegawai Negeri Sipil (CPNS) tahun 2017;1
Kolam Retensi Dibangun di Palembang, Apa Itu?;Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) akan membangun kolam retensi.;0
