,sentence,sentiment,polarity,Sentiment_Type
0,"Jalan Longsor, Dinas PUPR Muba Membuat Konstruksi Darurat",0.0,0.0,Neutral
1,Menkeu Sebut Kementerian Agama Miliki Anggaran Kedua Terbesar,0.0,0.0,Neutral
2,"Dalami Suap di KemenPUPR, KPK Periksa Eks Dirjen Cipta Karya",0.05000000000000002,0.5,Positive
3,KPK Indentifikasi 20 Proyek KemenPUPR Didapati Praktik Suap,0.0,0.0,Neutral
4,Pemerintah Dituding Lamban Tangani Longsor Sibaganding,-0.30000000000000004,0.39999999999999997,Negative
5,Menangani Korupsi Proyek Bencana Alam,0.1,0.4,Positive
6,KPK Sita Dokumen 12 Proyek Anggaran Rp500 M di KemenPUPR,0.0,0.0,Neutral
7,"Kasus Suap KemenPUPR, Tiga Lokasi Digeledah dan Sita Deposito Rp1 M",0.0,0.0,Neutral
8,"Usut Korupsi Kementerian PUPR, KPK Temukan Proyek Lain jadi Objek Suap",-0.125,0.375,Negative
9,"Geledah Ditjen Cipta Karya, KPK Sita Uang Rp800 Juta",0.02500000000000001,0.3,Positive
10,"OTT PUPR: Lolos Pidana Mati, Tersangka Terancam Pidana Seumur Hidup",-0.4,0.55,Negative
11,Menteri PUPR: Infrastruktur Kerakyatan Tetap Menjadi Prioritas di 2019,0.6,0.9,Positive
12,Tim Prabowo-Sandi Sebut Korupsi di Kementerian PUPR Memalukan,0.0,0.0,Neutral
13,Ini Kronologi OTT Suap Pejabat Kemen PUPR,0.0,0.0,Neutral
14,KPK Tetapkan 8 Tersangka Kasus Dugaan Suap Pejabat Kemen PUPR,0.0,0.0,Neutral
15,"OTT Pejabat Kemen PUPR, KPK: Proyek SPAM Dianggarkan Tahun 2018",0.0,0.0,Neutral
16,"Hampir 1 Jam Menunggu, Irjen Kemen PUPR Tunggu Informasi dari KPK",0.07500000000000001,0.45,Positive
17,OTT Pejabat Kementerian PUPR Diduga Terkait Proyek Air Minum,0.0,0.23333333333333334,Neutral
18,Respons Menteri PUPR Sikapo Pejabat Ditjen Cipta Karya Kena OTT KPK,0.012500000000000004,0.18333333333333332,Positive
19,"KPK OTT Pejabat Kementerian PUPR, 10 Orang Diamankan",0.0,0.0,Neutral
20,Mengkaji Syarat Ambil KPR Tak Pakai Batasan Gaji,0.0,0.0,Neutral
21,PUPR Tingkatkan Peran 25 Bank Pelaksana Kredit Pemilikan Rumah,0.0,0.0,Neutral
22,"Bangun Infrastruktur Pakai Duit SBSN, PUPR Dipelototin Sri Mulyani",0.0,0.0,Neutral
23,KPK Tetapkan Tersangka Baru Kasus Suap Bupati Pakpak Bharat,0.13636363636363635,0.45454545454545453,Positive
24,Kaum Milenial Dapat Subsidi KPR,0.0,0.0,Neutral
25,"Atasi Banjir Rob Jakarta, Giant Sea Wall Dikembangkan Jadi NCICD",0.05,0.65,Positive
26,Konsep Rest Area TOD Tinggal Menunggu Izin Kementerian PUPR,0.0,0.0,Neutral
27,Program IBM Kementerian PUPR Menjangkau hingga Pedesaan,0.0,0.0,Neutral
28,Tak Semua Daerah Pembangunan Infrastruktur di Papua Rawan Penembakan,0.0,0.0,Neutral
29,PUPR: Pekerja Tak Takut Membangun Infrastruktur di Papua,0.3,0.9,Positive
30,PUPR: Jokowi Pernah Kunjungi Lokasi Pembantaian 31 Pekerja di Papua,0.0,0.0,Neutral
31,"31 Pekerja Ditembak, Pembangunan Jembatan di Trans Papua Dihentikan",0.0,0.0,Neutral
32,Hari Bakti PU ke-73: Infrastruktur Mempersatukan Bangsa,0.0,0.06666666666666667,Neutral
33,"Jelang Tutup Tahun, Serapan Anggaran Dinas PUPR Depok Baru 27 Persen",0.13636363636363635,0.45454545454545453,Positive
34,"Inovasi Aspal Karet di Sumsel Baru Mencapai 5,43 Kilometer",0.13636363636363635,0.45454545454545453,Positive
35,Tangerang dan Jepang Jajaki Kerja Sama Soal Air Baku,-0.23076923076923078,0.46153846153846156,Negative
36,Kronologi OTT Bupati Pakpak Bharat,0.0,0.0,Neutral
37,Permen PUPR Dinilai Kurang Adil untuk Pemilik Rusunami,0.26666666666666666,0.48333333333333334,Positive
38,Pengurus Rusun Kalibata City Keluhkan Terbitnya Permen PUPR,-0.025,0.125,Negative
39,"Suap DAK Kebumen, KPK Usut Anggota DPR dan Pejabat Kementerian",0.0,0.0,Neutral
