"url","News Date","News Title","News Title_link","News Summary"
"https://search.sindonews.com/search?type=artikel&q=pupr","Kamis, 24 Januari 2019 - 13:50 WIB","Jalan Longsor, Dinas PUPR Muba Membuat Konstruksi Darurat","https://daerah.sindonews.com/read/1373192/190/jalan-longsor-dinas-pupr-muba-membuat-konstruksi-darurat-1548312606","Longsor yang terjadi pada Rabu (23/1/2019) sore di Desa Keban I Dusun I Kecamatan Sanga Desa menyebabkan jalan rusak. Warga setempat was-was, pasalnya longsor tersebut mendekati pemukiman warga."
"https://search.sindonews.com/search?type=artikel&q=pupr","Rabu, 23 Januari 2019 - 23:03 WIB","Menkeu Sebut Kementerian Agama Miliki Anggaran Kedua Terbesar","https://ekbis.sindonews.com/read/1373041/33/menkeu-sebut-kementerian-agama-miliki-anggaran-kedua-terbesar-1548258199","Kementerian Agama menjadi urutan kedua daftar anggaran Kementerian yang besar setelah Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR)."
"https://search.sindonews.com/search?type=artikel&q=pupr","Selasa, 22 Januari 2019 - 04:55 WIB","Dalami Suap di KemenPUPR, KPK Periksa Eks Dirjen Cipta Karya","https://nasional.sindonews.com/read/1372441/13/dalami-suap-di-kemenpupr-kpk-periksa-eks-dirjen-cipta-karya-1548097135","KPK telah melakukan pemeriksaan terhadap mantan Direktur Jenderal Cipta Karya pada Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR), Danny Sutjiono."
"https://search.sindonews.com/search?type=artikel&q=pupr","Selasa, 22 Januari 2019 - 01:46 WIB","KPK Indentifikasi 20 Proyek KemenPUPR Didapati Praktik Suap","https://nasional.sindonews.com/read/1372439/13/kpk-indentifikasi-20-proyek-kemenpupr-didapati-praktik-suap-1548096383","KPK mengidentifikasi setidaknya ada 20 proyek di Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) yang di dalamnya diduga terdapat praktik korupsi."
"https://search.sindonews.com/search?type=artikel&q=pupr","Senin, 14 Januari 2019 - 09:42 WIB","Pemerintah Dituding Lamban Tangani Longsor Sibaganding","https://daerah.sindonews.com/read/1370200/191/pemerintah-dituding-lamban-tangani-longsor-sibaganding-1547433766","DPRD Simalungun menuding pemerintah daerah, Kementerian Pekejaan Umum dan Perumahan Rakyat (PUPR) serta pemerintah provinsi Sumatera Utara lamban menangani longsor di Sibaganding, Kecamatan Girsang Sipanganbolon, Kabupaten Simalungun."
"https://search.sindonews.com/search?type=artikel&q=pupr","Senin, 14 Januari 2019 - 08:30 WIB","Menangani Korupsi Proyek Bencana Alam","https://nasional.sindonews.com/read/1370182/18/menangani-korupsi-proyek-bencana-alam-1547426138","Di penghujung 2018, KPK menutup catatan akhir tahun pemberantasan korupsi dengan melakukan OTT terkait dugaan suap proyek pembangunan SPAM di Kementerian PUPR bagi daerah yang terkena musibah bencana alam di Donggala dan Palu."
"https://search.sindonews.com/search?type=artikel&q=pupr","Jum'at, 04 Januari 2019 - 03:06 WIB","KPK Sita Dokumen 12 Proyek Anggaran Rp500 M di KemenPUPR","https://nasional.sindonews.com/read/1367762/13/kpk-sita-dokumen-12-proyek-anggaran-rp500-m-di-kemenpupr-1546545942","KPK kembali menyita uang sejumlah Rp1,2 miliar dalam kasus dugaan suap pengurusan 4 proyek SPAM dan pengadaan pipa HDPE Kementerian PUPR."
"https://search.sindonews.com/search?type=artikel&q=pupr","Kamis, 03 Januari 2019 - 19:15 WIB","Kasus Suap KemenPUPR, Tiga Lokasi Digeledah dan Sita Deposito Rp1 M","https://nasional.sindonews.com/read/1367695/13/kasus-suap-kemenpupr-tiga-lokasi-digeledah-dan-sita-deposito-rp1-m-1546517694","KPK kembali menggeledah sejumlah lokasi terkait kasus dugaan suap kepada pejabat Kementerian PUPR terhadap proyek pembangunan SPAM tahun 2017-2018."
"https://search.sindonews.com/search?type=artikel&q=pupr","Selasa, 01 Januari 2019 - 21:34 WIB","Usut Korupsi Kementerian PUPR, KPK Temukan Proyek Lain jadi Objek Suap","https://nasional.sindonews.com/read/1367197/13/usut-korupsi-kementerian-pupr-kpk-temukan-proyek-lain-jadi-objek-suap-1546352978","Komisi Pemberantasan Korupsi (KPK) menemukan dugaan beberapa proyek lain yang menjadi objek suap terkait proyek SPAM dan pipa HDPE Kementerian PUPR tahun anggaran 2017-2018."
"https://search.sindonews.com/search?type=artikel&q=pupr","Senin, 31 Desember 2018 - 22:31 WIB","Geledah Ditjen Cipta Karya, KPK Sita Uang Rp800 Juta","https://nasional.sindonews.com/read/1367030/13/geledah-ditjen-cipta-karya-kpk-sita-uang-rp800-juta-1546270310","Tim penyidik Komisi Pemberantasan Korupsi (KPK&lrm) menyita sejumlah dokumen dan uang Rp800 juta dalam kasus dugaan korupsi di Kementeriaan PUPR."
