,sentence,sentiment,polarity,Sentiment_Type
0,Jokowi Telepon Menteri PUPR Minta Benteng Van Den Bosch Dipercantik,0.0,0.0,Neutral
1,PUPR Ajak Komunitas Bantu Wujudkan Program Satu Juta Rumah,0.0,0.0,Neutral
2,"Kasus Proyek Air Minum Kementrian PUPR, KPK Panggil Staf Keuangan PT. WKE",0.0,0.0,Neutral
3,TNI Kodam Jaya Telah Tempati Rusun yang Dibangun PUPR,0.0,0.0,Neutral
4,"5 Rusun TNI Dibangun di Jaktim, Kementerian PUPR : Semoga Mereka Nyaman",0.4,0.8,Positive
5,Kementerian PUPR dan TNI Tingkatkan Kerja Sama Bangun NKRI,0.0,0.0,Neutral
6,"Bangun Pompa Sedot di Kali Sentiong, PUPR Siapkan Anggaran Rp 450 Miliar",0.0,0.0,Neutral
7,Tahun Ini Kementerian PUPR Bangun 9 Bendungan Senilai Rp 21 Triliun,0.3,0.1,Positive
8,"Suap Air Minum di Kementerian PUPR, KPK Periksa Pejabat Bank BRI",0.0,0.0,Neutral
9,Menteri PUPR Tak Keberatan Motor Masuk Tol,0.0,0.0,Neutral
10,Intip Upaya Kementerian PUPR Bantu Urai Kemacetan Jabodetabek,0.0,0.06666666666666667,Neutral
11,Menteri PUPR Optimis Pembangunan Infrastruktur dalam RPJMN Tercapai,0.0,0.0,Neutral
12,"Bantu Pengairan Sawah Petani, PUPR Rehabilitasi Bendung Gerak Sembayat",0.0,0.0,Neutral
13,Menteri PUPR Dampingi Wapres JK Tinjau Penanganan Banjir Sulsel,0.0,0.0,Neutral
14,"Percantik Kawasan Wisata Labuan Bajo PUPR Gelontorkan Rp 40,35 Miliar",0.0,0.0,Neutral
15,Polisi Endus Aliran Suap Proyek Air Minum PUPR Lewat Transaksi Bank,0.0,0.0,Neutral
16,KPK Periksa 6 Saksi Kasus Suap di Kementerian PUPR untuk 3 Tersangka,0.0,0.0,Neutral
17,KPK: Ada 20 Proyek di Kementerian PUPR Terindikasi Korupsi,0.0,0.0,Neutral
18,"Cari Solusi Masalah Perumahan, Kementerian PUPR Gelar Forum Reboan",0.0,0.0,Neutral
19,Kementerian PUPR Fasilitasi Tukang Cukur Asal Garut Miliki Rumah,0.0,0.0,Neutral
20,"Pada 2019, PUPR Targetkan Bangun 1,25 Juta Rumah",0.0,0.0,Neutral
21,"Suap Proyek Air Minum untuk Korban Bencana, KPK Panggil 2 Pejabat PUPR",0.0,0.0,Neutral
22,"Kasus Suap Air Minum untuk Korban Bencana, KPK Periksa 2 Pejabat PUPR",0.0,0.0,Neutral
23,"Lebih dari Target, Kementerian PUPR Bangun 1.132.621 Rumah pada 2018",0.5,0.5,Positive
24,"Suap Proyek Air Minum, KPK Mulai Periksa Saksi di Lingkungan PUPR",0.0,0.0,Neutral
25,"Kasus Suap Proyek Air Minum PUPR, KPK Geledah Kantor Ditjen Cipta Karya",0.02500000000000001,0.3,Positive
26,KPK Berpeluang Tetapkan Tersangka Baru di Kasus Suap Proyek PUPR,0.13636363636363635,0.45454545454545453,Positive
27,KPK Sita Uang Ratusan Juta dan Deposito Rp 1 M di Rumah Penyuap Proyek PUPR,0.0,0.0,Neutral
28,"Usai Sita Uang Rp800 Juta, KPK Kini Geledah Rumah Penyuap Proyek PUPR",0.0,0.0,Neutral
29,Menteri PUPR: Infrastruktur Kerakyatan Tetap Jadi Prioritas 2019,0.6,0.9,Positive
30,KPK Tahan Delapan Tersangka Suap Proyek SPAM PUPR di Lokasi Berbeda,0.0,0.6,Neutral
31,KPK tahan 8 Tersangka Suap Proyek SPAM di PUPR,0.0,0.0,Neutral
32,"KPK Geram, Suap Pejabat PUPR Terkait Proyek Air Minum untuk Korban Bencana",0.0,0.0,Neutral
33,Begini Kronologis OTT Pejabat Kementerian PUPR,0.0,0.0,Neutral
34,Ini Uang Korupsi OTT Pejabat PUPR,0.0,0.0,Neutral
35,KPK Tetapkan Delapan Tersangka OTT di Kementerian PUPR,0.0,0.0,Neutral
36,OTT KPK di Kementerian PUPR Terkait Proyek Air Minum di Daerah Bencana,0.0,0.17777777777777778,Neutral
37,"Anak Buah Terlibat OTT, Irjen Kementerian PUPR Sambangi KPK",0.05000000000000002,0.5,Positive
38,"OTT Pejabat PUPR, KPK Dalami Kasus Penyediaan Air Minum Tanggap Darurat",0.0,0.0,Neutral
39,"OTT Pejabat Kementerian PUPR, KPK Sita Uang Dolar Singapura",0.0,0.0,Neutral
40,20 Orang Diamankan KPK Terkait OTT di Kementerian PUPR,0.0,0.0,Neutral
