,sentence,sentiment,polarity,Sentiment_Type
0,OTT Bupati Mesuji Diduga Terkait Proyek Infrastruktur Dinas PUPR ...,0.0,0.23333333333333334,Neutral
1,KPK Periksa Irjen Kementerian PUPR dalam Kasus Korupsi SPAM ...,0.05000000000000002,0.5,Positive
2,KPK Menahan 8 Tersangka Kasus Suap Kementerian PUPR ...,0.0,0.0,Neutral
3,"OTT Kementerian PUPR, KPK Tetapkan 8 Orang sebagai Tersangka",0.0,0.0,Neutral
4,"Kasus Suap Kementerian PUPR, KPK Geledah Dua Lokasi ...",0.0,0.0,Neutral
5,Begini Detail Kronologi OTT Kementerian PUPR di Jakarta ...,0.0,0.0,Neutral
6,"Bawahannya Kena OTT KPK, Begini Reaksi Menteri PUPR ...",0.0,0.06666666666666667,Neutral
7,"20 Orang Terjaring OTT, Irjen Kementerian PUPR Datangi KPK ...",0.02500000000000001,0.2833333333333333,Positive
8,"Kasus SPAM Kementerian PUPR, KPK Sita Deposito Rp 1 Miliar ...",0.0,0.0,Neutral
9,"Kasus Suap SPAM Kementerian PUPR, Dari Toba hingga Donggala ...",0.0,0.0,Neutral
10,"Suap PUPR, KPK Sita Deposito Rp 1 Miliar dan Uang Rp 200 Juta ...",0.0,0.0,Neutral
11,"Nihil Informasi, Irjen Kementerian PUPR Tinggalkan Gedung KPK ...",0.02500000000000001,0.2833333333333333,Positive
12,PUPR: Integrasi Tol JORR Efektif Mulai 29 September 2018 - bisnis ...,0.3,0.45,Positive
13,"OTT Kementerian PUPR, KPK Duga Bukan Transaksi Pertama ...",0.25,0.3333333333333333,Positive
14,Kementerian PUPR Optimistis Program Sejuta Rumah 2018 Tercapai,0.0,0.0,Neutral
15,"Pembangunan Palu Baru, PUPR Perkirakan Dana Rp 6 Triliun ...",0.13636363636363635,0.45454545454545453,Positive
16,KPK Operasi Tangkap Tangan Pejabat Kementerian PUPR ...,0.0,0.0,Neutral
17,"Kasus Suap PUPR, KPK Menyita Rp 800 Juta dari Kantor SPAM ...",0.0,0.0,Neutral
18,PUPR: Pembangunan Rumah Korban Gempa Lombok di NTB Lambat,-0.30000000000000004,0.39999999999999997,Negative
19,Kementerian PUPR: Perbaikan Flyover Cengkareng Butuh Waktu Lagi,0.5,0.5,Positive
20,"Suap PUPR, KPK Tetapkan Direktur Sharleen Raya Jadi Tersangka ...",0.0,0.0,Neutral
21,JK Minta Menteri PUPR Buat Standarisasi Perumahan - bisnis ...,0.0,0.0,Neutral
22,Kementerian PUPR Bangun Pipa Transmisi Air Baku di Merauke ...,-0.23076923076923078,0.46153846153846156,Negative
23,PUPR Targetkan Empat Proyek Infrastruktur Ini Rampung Tahun 2019,0.0,0.0,Neutral
24,ESDM Serahkan Peta Daerah Aman Hunian ke PUPR dan Pemda ...,0.25,0.25,Positive
25,Menteri PUPR Tegaskan Pembangunan Trans Papua Terus Berlanjut,0.0,0.0,Neutral
26,Begini Perubahan Pengadaan Barang dan Jasa di Kementrian PUPR,0.0,0.0,Neutral
