url;Pos Rel Image;Pos Rel Image_alt;Pos Rel Image_link;Fbo;Fbo_link;Grey2pt5;Grey
http://www.tribunnews.com/tag/kementerian-pupr?page=1;http://cdn2.tstatic.net/tribunnews/foto/bank/thumbnails2/menteri-pupr-basuki-hadimuljono-di-kantor-wapres-ri.jpg;menteri-pupr-basuki-hadimuljono-di-kantor-wapres-ri.jpg;http://www.tribunnews.com/nasional/2019/01/24/20-proyek-terindikasi-korupsi-kementerian-pupr-bentuk-balai-khusus-pengadaan-barang-dan-jasa;20 Proyek Terindikasi Korupsi, Kementerian PUPR Bentuk Balai Khusus Pengadaan Barang dan Jasa;http://www.tribunnews.com/nasional/2019/01/24/20-proyek-terindikasi-korupsi-kementerian-pupr-bentuk-balai-khusus-pengadaan-barang-dan-jasa;Kementerian Pekerjaan Umum dan Perumahan Rakyat (Kementerian PUPR) membentuk balai khusus untuk mengurus pengadaan barang dan jasa di Kementerian PUPR;1 jam lalu
http://www.tribunnews.com/tag/kementerian-pupr?page=1;http://cdn2.tstatic.net/tribunnews/foto/bank/thumbnails2/gedung-baru-kpk_20160222_231154.jpg;gedung-baru-kpk_20160222_231154.jpg;http://www.tribunnews.com/nasional/2019/01/22/kpk-periksa-6-saksi-kasus-korupsi-penyediaan-air-minum-di-kementerian-pupr;KPK Periksa 6 Saksi Kasus Korupsi Penyediaan Air Minum di Kementerian PUPR;http://www.tribunnews.com/nasional/2019/01/22/kpk-periksa-6-saksi-kasus-korupsi-penyediaan-air-minum-di-kementerian-pupr;"""Penyidik hari ini dijadwalkan memeriksa enam orang saksi untuk tiga tersangka berbeda,"" kata Febri Diansyah";2 hari lalu
http://www.tribunnews.com/tag/kementerian-pupr?page=1;http://cdn2.tstatic.net/tribunnews/foto/bank/thumbnails2/gedung-baru-kpk_20160222_231400.jpg;gedung-baru-kpk_20160222_231400.jpg;http://www.tribunnews.com/nasional/2019/01/21/kpk-temukan-bukti-baru-dalam-kasus-suap-proyek-spam-di-kementerian-pupr;KPK Temukan Bukti Baru dalam Kasus Suap Proyek SPAM di Kementerian PUPR;http://www.tribunnews.com/nasional/2019/01/21/kpk-temukan-bukti-baru-dalam-kasus-suap-proyek-spam-di-kementerian-pupr;KPK terus mendalami dugaan suap terkait proyek Sistem Penyediaan Air Minum (SPAM) di Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR);2 hari lalu
http://www.tribunnews.com/tag/kementerian-pupr?page=1;http://cdn2.tstatic.net/tribunnews/foto/bank/thumbnails2/gedung-baru-kpk_20160222_231400.jpg;gedung-baru-kpk_20160222_231400.jpg;http://www.tribunnews.com/nasional/2019/01/21/kpk-periksa-direktur-pengembangan-spam-kementerian-pupr-terkait-korupsi-penyediaan-air-minum;KPK Periksa Direktur Pengembangan SPAM Kementerian PUPR Terkait Korupsi Penyediaan Air Minum;http://www.tribunnews.com/nasional/2019/01/21/kpk-periksa-direktur-pengembangan-spam-kementerian-pupr-terkait-korupsi-penyediaan-air-minum;Agus Ahyar bakal dimintai keterangan terkait kasus dugaan suap proyek pembangunan SPAM Kementerian Pekerjaan Umum dan Perumahan Rakyat;3 hari lalu
http://www.tribunnews.com/tag/kementerian-pupr?page=1;http://cdn2.tstatic.net/tribunnews/foto/bank/thumbnails2/febri-diansyah-nih2.jpg;febri-diansyah-nih2.jpg;http://www.tribunnews.com/nasional/2019/01/16/kpk-memperpanjang-masa-penahanan-tersangka-suap-proyek-penyediaan-air-minum-pupr;KPK Memperpanjang Masa Penahanan Tersangka Suap Proyek Penyediaan Air Minum PUPR;http://www.tribunnews.com/nasional/2019/01/16/kpk-memperpanjang-masa-penahanan-tersangka-suap-proyek-penyediaan-air-minum-pupr;2 proyek lainnya adalah pengadaan pipa HDPE di Bekasi daerah bencana di Donggala, Palu, Sulawesi Tengah (Sulteng).;Rabu, 16 Januari 2019
http://www.tribunnews.com/tag/kementerian-pupr?page=1;http://cdn2.tstatic.net/tribunnews/foto/bank/thumbnails2/konpers-ott-kementerian-pupr_20181230_200510.jpg;konpers-ott-kementerian-pupr_20181230_200510.jpg;http://www.tribunnews.com/nasional/2019/01/15/suap-berjamaah-proyek-air-minum-kementerian-pupr-inspektur-jenderal-jalani-pemeriksaan-di-kpk;Suap Berjamaah Proyek Air Minum Kementerian PUPR: Inspektur Jenderal Jalani Pemeriksaan di KPK;http://www.tribunnews.com/nasional/2019/01/15/suap-berjamaah-proyek-air-minum-kementerian-pupr-inspektur-jenderal-jalani-pemeriksaan-di-kpk;KPK menetapkan delapan orang tersangka. Empat di antaranya adalah petinggi perusahaan yang diduga kuat sebagai pihak pemberi suap.;Selasa, 15 Januari 2019
http://www.tribunnews.com/tag/kementerian-pupr?page=1;http://cdn2.tstatic.net/tribunnews/foto/bank/thumbnails2/konpers-ott-kementerian-pupr_20181230_201125.jpg;konpers-ott-kementerian-pupr_20181230_201125.jpg;http://www.tribunnews.com/nasional/2019/01/15/kpk-dalami-aliran-duit-suap-proyek-penyediaan-air-minum-kementerian-pupr;KPK Dalami Aliran Duit Suap Proyek Penyediaan Air Minum Kementerian PUPR;http://www.tribunnews.com/nasional/2019/01/15/kpk-dalami-aliran-duit-suap-proyek-penyediaan-air-minum-kementerian-pupr;Tim penyidik KPK juga mendalami komitmen fee dan pihak-pihak yang diduga menerima suap tersebut.;Selasa, 15 Januari 2019
http://www.tribunnews.com/tag/kementerian-pupr?page=1;http://cdn2.tstatic.net/tribunnews/foto/bank/thumbnails2/febri-diansyah-nih2.jpg;febri-diansyah-nih2.jpg;http://www.tribunnews.com/nasional/2019/01/14/kasus-korupsi-spam-kementerian-pupr-kpk-periksa-staf-keuangan-pt-wke;Kasus Korupsi SPAM Kementerian PUPR, KPK Periksa Staf Keuangan PT WKE;http://www.tribunnews.com/nasional/2019/01/14/kasus-korupsi-spam-kementerian-pupr-kpk-periksa-staf-keuangan-pt-wke;Komisi Pemberantasan Korupsi (KPK) bakal memeriksa Staf Keuangan PT Wijaya Kusuma Emindo (WKE) Yohanes Herman Susanto.;Senin, 14 Januari 2019
http://www.tribunnews.com/tag/kementerian-pupr?page=1;http://cdn2.tstatic.net/tribunnews/foto/bank/thumbnails2/konpers-ott-kementerian-pupr_20181230_201406.jpg;konpers-ott-kementerian-pupr_20181230_201406.jpg;http://www.tribunnews.com/nasional/2019/01/11/kpk-periksa-bendahara-satker-satuan-tanggap-darurat-ditjen-cipta-karya-untuk-kasus-korupsi-spam-pupr;KPK Periksa Bendahara Satker Satuan Tanggap Darurat Ditjen Cipta Karya untuk Kasus Korupsi SPAM PUPR;http://www.tribunnews.com/nasional/2019/01/11/kpk-periksa-bendahara-satker-satuan-tanggap-darurat-ditjen-cipta-karya-untuk-kasus-korupsi-spam-pupr;Ia bakal bersaksi kasus korupsi proyek-proyek pembangunan Sistem Penyediaan Air Minum (SPAM) di Kementerian PUPR Tahun Anggaran 2017-2018.;Jumat, 11 Januari 2019
http://www.tribunnews.com/tag/kementerian-pupr?page=1;http://cdn2.tstatic.net/tribunnews/foto/bank/thumbnails2/bamsoet-terima-perwakilan-aceh.jpg;bamsoet-terima-perwakilan-aceh.jpg;http://www.tribunnews.com/nasional/2019/01/10/ketua-dpr-ingatkan-kementerian-pupr-jalan-menuju-makam-cut-meutia-rusak-dan-belumpur;Ketua DPR Ingatkan Kementerian PUPR: Jalan Menuju Makam Cut Meutia Rusak dan Belumpur;http://www.tribunnews.com/nasional/2019/01/10/ketua-dpr-ingatkan-kementerian-pupr-jalan-menuju-makam-cut-meutia-rusak-dan-belumpur;Tak hanya di bidang infrastruktur, Ketua Badan Bela Negara FKPPI ini juga menerima pengaduan pengembangan di bidang pertanian.;Kamis, 10 Januari 2019
